,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore_precision,0.39,0.259,0.132,0.107
bertscore_recall,0.18,0.122,-0.181,-0.226
bertscore_f1,0.3,0.202,-0.053,-0.096
bertscore-topk-5_precision,0.427,0.354,0.162,0.097
bertscore-topk-5_recall,0.233,0.175,0.012,0.005
bertscore-topk-5_f1,0.386,0.312,0.106,0.062
bertscore-topk-10_precision,0.431,0.333,0.191,0.136
bertscore-topk-10_recall,0.151,0.148,-0.137,-0.183
bertscore-topk-10_f1,0.33,0.273,0.026,-0.032
bertscore-topk-20_precision,0.4,0.271,0.145,0.118
bertscore-topk-20_recall,0.171,0.114,-0.179,-0.222
bertscore-topk-20_f1,0.303,0.205,-0.043,-0.085
bertscore-topp-0.2_precision,0.384,0.316,0.32,0.248
bertscore-topp-0.2_recall,0.114,0.094,-0.23,-0.327
bertscore-topp-0.2_f1,0.258,0.214,-0.022,-0.127
bertscore-topp-0.5_precision,0.452,0.321,0.259,0.209
bertscore-topp-0.5_recall,0.102,0.073,-0.277,-0.342
bertscore-topp-0.5_f1,0.267,0.192,-0.094,-0.164
bertscore-topp-0.7_precision,0.421,0.284,0.172,0.145
bertscore-topp-0.7_recall,0.12,0.078,-0.24,-0.304
bertscore-topp-0.7_f1,0.268,0.18,-0.089,-0.146
bertscore-sentence-cos-mpnet_P,0.423,0.506,0.344,0.368
bertscore-sentence-cos-mpnet_R,0.317,0.254,-0.063,-0.114
bertscore-sentence-cos-mpnet_F,0.364,0.337,-0.005,-0.054
bertscore-sentence-cos-mpnet-topk-5_P,0.417,0.362,0.162,0.13
bertscore-sentence-cos-mpnet-topk-5_R,0.392,0.337,0.161,0.018
bertscore-sentence-cos-mpnet-topk-5_F,0.426,0.378,0.175,0.061
bertscore-sentence-cos-mpnet-topk-10_P,0.427,0.347,0.217,0.184
bertscore-sentence-cos-mpnet-topk-10_R,0.49,0.326,0.184,0.139
bertscore-sentence-cos-mpnet-topk-10_F,0.517,0.373,0.218,0.171
bertscore-sentence-cos-mpnet-topk-20_P,0.365,0.257,0.147,0.131
bertscore-sentence-cos-mpnet-topk-20_R,0.411,0.281,0.072,0.031
bertscore-sentence-cos-mpnet-topk-20_F,0.443,0.316,0.109,0.065
bertscore-sentence-cos-mpnet-topp-0.2_P,0.422,0.343,0.431,0.429
bertscore-sentence-cos-mpnet-topp-0.2_R,0.343,0.222,0.002,-0.134
bertscore-sentence-cos-mpnet-topp-0.2_F,0.427,0.324,0.148,0.042
bertscore-sentence-cos-mpnet-topp-0.5_P,0.42,0.305,0.351,0.343
bertscore-sentence-cos-mpnet-topp-0.5_R,0.377,0.248,-0.036,-0.085
bertscore-sentence-cos-mpnet-topp-0.5_F,0.458,0.327,0.069,0.017
bertscore-sentence-cos-mpnet-topp-0.7_P,0.458,0.447,0.403,0.432
bertscore-sentence-cos-mpnet-topp-0.7_R,0.369,0.268,-0.035,-0.09
bertscore-sentence-cos-mpnet-topp-0.7_F,0.439,0.36,0.052,0.003
bertscore-sentence-cos-roberta_P,0.476,0.558,0.405,0.405
bertscore-sentence-cos-roberta_R,0.337,0.301,-0.037,-0.079
bertscore-sentence-cos-roberta_F,0.397,0.401,0.037,-0.005
bertscore-sentence-cos-roberta-topk-5_P,0.434,0.405,0.19,0.153
bertscore-sentence-cos-roberta-topk-5_R,0.436,0.4,0.208,0.066
bertscore-sentence-cos-roberta-topk-5_F,0.449,0.442,0.209,0.087
bertscore-sentence-cos-roberta-topk-10_P,0.471,0.396,0.258,0.228
bertscore-sentence-cos-roberta-topk-10_R,0.533,0.4,0.235,0.18
bertscore-sentence-cos-roberta-topk-10_F,0.514,0.401,0.27,0.223
bertscore-sentence-cos-roberta-topk-20_P,0.447,0.353,0.226,0.203
bertscore-sentence-cos-roberta-topk-20_R,0.435,0.332,0.103,0.069
bertscore-sentence-cos-roberta-topk-20_F,0.481,0.391,0.151,0.111
bertscore-sentence-cos-roberta-topp-0.2_P,0.425,0.382,0.424,0.419
bertscore-sentence-cos-roberta-topp-0.2_R,0.358,0.271,0.032,-0.09
bertscore-sentence-cos-roberta-topp-0.2_F,0.431,0.374,0.182,0.089
bertscore-sentence-cos-roberta-topp-0.5_P,0.454,0.378,0.382,0.382
bertscore-sentence-cos-roberta-topp-0.5_R,0.388,0.292,-0.011,-0.058
bertscore-sentence-cos-roberta-topp-0.5_F,0.456,0.35,0.094,0.055
bertscore-sentence-cos-roberta-topp-0.7_P,0.491,0.51,0.425,0.455
bertscore-sentence-cos-roberta-topp-0.7_R,0.383,0.306,-0.006,-0.051
bertscore-sentence-cos-roberta-topp-0.7_F,0.466,0.417,0.092,0.057
rouge_rouge1,0.109,0.002,-0.289,-0.354
rouge_rouge2,0.128,0.018,-0.274,-0.337
rouge_rougeL,0.104,0.002,-0.293,-0.362
rouge_rougeLsum,0.104,0.002,-0.293,-0.362
rouge-topk-5_rouge1,0.256,0.1,-0.008,-0.042
rouge-topk-5_rouge2,0.249,0.099,-0.02,-0.056
rouge-topk-5_rougeL,0.236,0.105,-0.021,-0.071
rouge-topk-5_rougeLsum,0.236,0.105,-0.021,-0.071
rouge-topk-10_rouge1,0.111,-0.027,-0.171,-0.221
rouge-topk-10_rouge2,0.172,0.009,-0.139,-0.186
rouge-topk-10_rougeL,0.112,-0.028,-0.182,-0.244
rouge-topk-10_rougeLsum,0.112,-0.028,-0.182,-0.244
rouge-topk-20_rouge1,0.112,-0.03,-0.227,-0.284
rouge-topk-20_rouge2,0.147,-0.026,-0.211,-0.255
rouge-topk-20_rougeL,0.107,-0.036,-0.237,-0.297
rouge-topk-20_rougeLsum,0.107,-0.036,-0.237,-0.297
rouge-topp-0.2_rouge1,0.157,0.05,-0.145,-0.257
rouge-topp-0.2_rouge2,0.183,0.063,-0.102,-0.208
rouge-topp-0.2_rougeL,0.143,0.038,-0.15,-0.275
rouge-topp-0.2_rougeLsum,0.143,0.038,-0.15,-0.275
rouge-topp-0.5_rouge1,0.105,-0.0,-0.276,-0.37
rouge-topp-0.5_rouge2,0.16,0.022,-0.224,-0.309
rouge-topp-0.5_rougeL,0.122,0.007,-0.252,-0.351
rouge-topp-0.5_rougeLsum,0.122,0.007,-0.252,-0.351
rouge-topp-0.7_rouge1,0.085,-0.013,-0.292,-0.372
rouge-topp-0.7_rouge2,0.12,0.007,-0.263,-0.335
rouge-topp-0.7_rougeL,0.089,-0.013,-0.288,-0.369
rouge-topp-0.7_rougeLsum,0.089,-0.013,-0.288,-0.369
bleurt_scores,0.378,0.301,0.022,-0.069
bleurt-topk-5_scores,0.204,0.13,-0.048,-0.135
bleurt-topk-10_scores,0.315,0.247,-0.018,-0.102
bleurt-topk-20_scores,0.385,0.314,0.037,-0.067
bleurt-topp-0.2_scores,0.211,0.17,-0.038,-0.182
bleurt-topp-0.5_scores,0.328,0.22,0.022,-0.099
bleurt-topp-0.7_scores,0.342,0.258,0.005,-0.093
bertscore-sentence-mnli-roberta-not_neutral_P,0.089,0.134,0.177,0.148
bertscore-sentence-mnli-roberta-not_neutral_R,-0.03,-0.206,-0.219,-0.235
bertscore-sentence-mnli-roberta-not_neutral_F,-0.018,-0.199,-0.186,-0.206
bertscore-sentence-mnli-roberta-entail_only_P,0.167,0.193,0.148,-0.053
bertscore-sentence-mnli-roberta-entail_only_R,-0.118,-0.267,-0.347,-0.453
bertscore-sentence-mnli-roberta-entail_only_F,-0.084,-0.252,-0.314,-0.43
bertscore-sentence-mnli-roberta-entail_contradict_P,0.192,0.25,0.173,-0.03
bertscore-sentence-mnli-roberta-entail_contradict_R,-0.085,-0.187,-0.259,-0.397
bertscore-sentence-mnli-roberta-entail_contradict_F,-0.02,-0.229,-0.097,-0.225
bertscore-sentence-mnli-bart-not_neutral_P,-0.108,-0.117,0.088,0.07
bertscore-sentence-mnli-bart-not_neutral_R,-0.302,-0.432,-0.287,-0.263
bertscore-sentence-mnli-bart-not_neutral_F,-0.268,-0.414,-0.246,-0.216
bertscore-sentence-mnli-bart-entail_only_P,0.257,0.233,0.24,0.076
bertscore-sentence-mnli-bart-entail_only_R,0.02,-0.14,-0.28,-0.345
bertscore-sentence-mnli-bart-entail_only_F,0.031,-0.136,-0.266,-0.346
bertscore-sentence-mnli-bart-entail_contradict_P,0.313,0.3,0.283,0.112
bertscore-sentence-mnli-bart-entail_contradict_R,0.218,0.138,-0.053,-0.185
bertscore-sentence-mnli-bart-entail_contradict_F,-0.145,-0.284,-0.268,-0.119
bertscore-sentence-mnli-deberta-not_neutral_P,0.094,-0.002,0.148,0.112
bertscore-sentence-mnli-deberta-not_neutral_R,-0.12,-0.359,-0.34,-0.339
bertscore-sentence-mnli-deberta-not_neutral_F,-0.101,-0.363,-0.302,-0.299
bertscore-sentence-mnli-deberta-entail_only_P,0.303,0.276,0.266,0.097
bertscore-sentence-mnli-deberta-entail_only_R,0.03,-0.126,-0.289,-0.366
bertscore-sentence-mnli-deberta-entail_only_F,0.051,-0.117,-0.276,-0.366
bertscore-sentence-mnli-deberta-entail_contradict_P,0.327,0.301,0.291,0.113
bertscore-sentence-mnli-deberta-entail_contradict_R,0.113,0.052,-0.149,-0.266
bertscore-sentence-mnli-deberta-entail_contradict_F,0.137,-0.053,0.075,0.018
bertscore-anyref-bart-default_precision,0.342,0.377,0.179,0.072
bertscore-anyref-bart-default_recall,0.385,0.285,0.168,0.057
bertscore-anyref-bart-default_f1,0.387,0.353,0.185,0.069
bertscore-anyref-bart-min-0.2-0.5_precision,0.341,0.391,0.193,0.081
bertscore-anyref-bart-min-0.2-0.5_recall,0.277,0.244,0.094,-0.031
bertscore-anyref-bart-min-0.2-0.5_f1,0.338,0.347,0.156,0.027
bertscore-anyref-bart-min-0.5-0.7_precision,0.341,0.391,0.193,0.081
bertscore-anyref-bart-min-0.5-0.7_recall,0.277,0.244,0.094,-0.031
bertscore-anyref-bart-min-0.5-0.7_f1,0.338,0.347,0.156,0.027
bertscore-anyref-bart-mean-0.2-0.5_precision,0.341,0.391,0.193,0.081
bertscore-anyref-bart-mean-0.2-0.5_recall,0.277,0.244,0.094,-0.031
bertscore-anyref-bart-mean-0.2-0.5_f1,0.338,0.347,0.156,0.027
bertscore-anyref-bart-mean-0.5-0.7_precision,0.341,0.391,0.193,0.081
bertscore-anyref-bart-mean-0.5-0.7_recall,0.277,0.244,0.094,-0.031
bertscore-anyref-bart-mean-0.5-0.7_f1,0.338,0.347,0.156,0.027
bertscore-anyref-bart-constant-16-32_precision,0.341,0.391,0.193,0.081
bertscore-anyref-bart-constant-16-32_recall,0.277,0.244,0.094,-0.031
bertscore-anyref-bart-constant-16-32_f1,0.338,0.346,0.156,0.027
bertscore-anyref-bart-constant-32-64_precision,0.34,0.39,0.192,0.081
bertscore-anyref-bart-constant-32-64_recall,0.292,0.26,0.103,-0.022
bertscore-anyref-bart-constant-32-64_f1,0.344,0.354,0.161,0.033
bertscore-anyref-pegasus-xsum-default_precision,0.218,0.304,0.106,0.02
bertscore-anyref-pegasus-xsum-default_recall,0.107,0.203,0.093,0.022
bertscore-anyref-pegasus-xsum-default_f1,0.174,0.272,0.106,0.022
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,0.218,0.304,0.106,0.02
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.107,0.203,0.093,0.022
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,0.174,0.272,0.106,0.022
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,0.218,0.304,0.106,0.02
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.107,0.203,0.093,0.022
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,0.174,0.272,0.106,0.022
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,0.218,0.304,0.106,0.02
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.107,0.203,0.093,0.022
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,0.174,0.272,0.106,0.022
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,0.218,0.304,0.106,0.02
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.107,0.203,0.093,0.022
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,0.174,0.272,0.106,0.022
bertscore-anyref-pegasus-xsum-constant-16-32_precision,0.274,0.371,0.115,0.025
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.214,0.195,0.109,-0.008
bertscore-anyref-pegasus-xsum-constant-16-32_f1,0.256,0.294,0.118,0.007
bertscore-anyref-pegasus-xsum-constant-32-64_precision,0.263,0.351,0.078,0.001
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.206,0.233,0.046,-0.047
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.238,0.294,0.061,-0.028
rouge-anyref-bart-default_rouge1,0.259,0.215,0.094,-0.025
rouge-anyref-bart-default_rouge2,0.149,0.094,-0.021,-0.136
rouge-anyref-bart-default_rougeL,0.142,0.106,-0.028,-0.137
rouge-anyref-bart-default_rougeLsum,0.142,0.106,-0.028,-0.137
rouge-anyref-bart-min-0.2-0.5_rouge1,0.235,0.255,0.052,-0.08
rouge-anyref-bart-min-0.2-0.5_rouge2,0.153,0.14,-0.036,-0.169
rouge-anyref-bart-min-0.2-0.5_rougeL,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-min-0.5-0.7_rouge1,0.235,0.255,0.052,-0.08
rouge-anyref-bart-min-0.5-0.7_rouge2,0.153,0.14,-0.036,-0.169
rouge-anyref-bart-min-0.5-0.7_rougeL,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.235,0.255,0.052,-0.08
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.153,0.14,-0.036,-0.169
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.133,0.15,-0.058,-0.19
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.235,0.255,0.052,-0.08
