,Pyramid,Linguistic,Overall
bertscore_precision,0.357,0.321,0.375
bertscore_recall,0.467,0.473,0.466
bertscore_f1,0.463,0.448,0.475
rouge_rouge1,0.378,0.364,0.395
rouge_rouge2,0.173,0.171,0.208
rouge_rougeL,0.247,0.299,0.277
rouge_rougeLsum,0.373,0.356,0.39
bleurt_scores,0.449,0.409,0.423
bertscore-deberta-large-mnli_precision,0.472,0.464,0.476
bertscore-deberta-large-mnli_recall,0.46,0.471,0.457
bertscore-deberta-large-mnli_f1,0.485,0.49,0.483
bertscore-bart-large-mnli_precision,0.44,0.391,0.432
bertscore-bart-large-mnli_recall,0.402,0.363,0.387
bertscore-bart-large-mnli_f1,0.431,0.388,0.418
bertscore-deberta-large_precision,0.425,0.431,0.444
bertscore-deberta-large_recall,0.422,0.447,0.424
bertscore-deberta-large_f1,0.448,0.47,0.454
bertscore-bart-large_precision,0.43,0.408,0.434
bertscore-bart-large_recall,0.386,0.376,0.384
bertscore-bart-large_f1,0.417,0.404,0.417
bertscore-roberta-large-mnli_precision,0.406,0.328,0.41
bertscore-roberta-large-mnli_recall,0.455,0.433,0.452
bertscore-roberta-large-mnli_f1,0.468,0.414,0.47
