,Pyramid,Linguistic,Overall
bertscore_precision,0.629,-0.021,0.282
bertscore_recall,0.353,-0.059,0.318
bertscore_f1,0.511,-0.101,0.314
rouge_rouge1,0.263,0.01,0.299
rouge_rouge2,0.384,-0.0,0.313
rouge_rougeL,0.235,0.024,0.297
rouge_rougeLsum,0.258,0.015,0.3
bleurt_scores,0.394,0.061,0.29
bertscore-deberta-large-mnli_precision,0.659,0.066,0.373
bertscore-deberta-large-mnli_recall,0.384,0.055,0.446
bertscore-deberta-large-mnli_f1,0.528,0.048,0.438
bertscore-bart-large-mnli_precision,0.639,0.036,0.344
bertscore-bart-large-mnli_recall,0.263,0.037,0.375
bertscore-bart-large-mnli_f1,0.419,0.026,0.412
bertscore-deberta-large_precision,0.622,0.019,0.332
bertscore-deberta-large_recall,0.328,0.043,0.406
bertscore-deberta-large_f1,0.464,0.033,0.401
bertscore-bart-large_precision,0.637,0.043,0.35
bertscore-bart-large_recall,0.274,0.055,0.392
bertscore-bart-large_f1,0.437,0.023,0.408
bertscore-roberta-large-mnli_precision,0.651,0.018,0.327
bertscore-roberta-large-mnli_recall,0.483,-0.039,0.399
bertscore-roberta-large-mnli_f1,0.572,-0.014,0.361
