,Pyramid,Linguistic,Overall
bertscore_precision,0.429,0.31,0.388
bertscore_recall,0.484,0.402,0.467
bertscore_f1,0.52,0.402,0.48
rouge_rouge1,0.393,0.241,0.37
rouge_rouge2,0.268,0.155,0.242
rouge_rougeL,0.254,0.206,0.242
rouge_rougeLsum,0.384,0.23,0.364
bleurt_scores,0.408,0.4,0.4
bertscore-deberta-large-mnli_precision,0.496,0.401,0.455
bertscore-deberta-large-mnli_recall,0.526,0.405,0.492
bertscore-deberta-large-mnli_f1,0.539,0.422,0.5
bertscore-bart-large-mnli_precision,0.471,0.272,0.415
bertscore-bart-large-mnli_recall,0.422,0.202,0.38
bertscore-bart-large-mnli_f1,0.481,0.245,0.426
bertscore-deberta-large_precision,0.471,0.374,0.437
bertscore-deberta-large_recall,0.472,0.371,0.45
bertscore-deberta-large_f1,0.507,0.393,0.475
bertscore-bart-large_precision,0.464,0.299,0.422
bertscore-bart-large_recall,0.409,0.232,0.379
bertscore-bart-large_f1,0.467,0.273,0.429
bertscore-roberta-large-mnli_precision,0.469,0.306,0.418
bertscore-roberta-large-mnli_recall,0.481,0.34,0.45
bertscore-roberta-large-mnli_f1,0.509,0.356,0.464
