,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore_precision,0.611,0.591,0.633,0.591
bertscore_recall,0.75,0.658,0.659,0.59
bertscore_f1,0.689,0.617,0.663,0.618
bertscore-topk-5_precision,0.532,0.504,0.544,0.494
bertscore-topk-5_recall,0.692,0.622,0.62,0.549
bertscore-topk-5_f1,0.619,0.577,0.596,0.544
bertscore-topk-10_precision,0.572,0.523,0.586,0.54
bertscore-topk-10_recall,0.718,0.623,0.648,0.584
bertscore-topk-10_f1,0.653,0.586,0.638,0.587
bertscore-topk-20_precision,0.612,0.589,0.636,0.594
bertscore-topk-20_recall,0.738,0.653,0.651,0.586
bertscore-topk-20_f1,0.685,0.618,0.665,0.614
bertscore-topp-0.2_precision,0.515,0.501,0.525,0.478
bertscore-topp-0.2_recall,0.715,0.635,0.645,0.569
bertscore-topp-0.2_f1,0.634,0.589,0.614,0.551
bertscore-topp-0.5_precision,0.596,0.575,0.6,0.564
bertscore-topp-0.5_recall,0.753,0.666,0.661,0.6
bertscore-topp-0.5_f1,0.692,0.632,0.652,0.607
bertscore-topp-0.7_precision,0.61,0.588,0.621,0.59
bertscore-topp-0.7_recall,0.748,0.661,0.658,0.596
bertscore-topp-0.7_f1,0.694,0.621,0.663,0.624
bertscore-sentence-cos-mpnet_P,0.565,0.578,0.613,0.612
bertscore-sentence-cos-mpnet_R,0.658,0.557,0.554,0.503
bertscore-sentence-cos-mpnet_F,0.687,0.599,0.629,0.594
bertscore-sentence-cos-mpnet-topk-5_P,0.54,0.508,0.528,0.464
bertscore-sentence-cos-mpnet-topk-5_R,0.618,0.541,0.546,0.467
bertscore-sentence-cos-mpnet-topk-5_F,0.62,0.544,0.561,0.488
bertscore-sentence-cos-mpnet-topk-10_P,0.549,0.526,0.569,0.521
bertscore-sentence-cos-mpnet-topk-10_R,0.62,0.535,0.551,0.482
bertscore-sentence-cos-mpnet-topk-10_F,0.637,0.55,0.603,0.538
bertscore-sentence-cos-mpnet-topk-20_P,0.569,0.556,0.594,0.549
bertscore-sentence-cos-mpnet-topk-20_R,0.652,0.573,0.554,0.498
bertscore-sentence-cos-mpnet-topk-20_F,0.663,0.584,0.608,0.562
bertscore-sentence-cos-mpnet-topp-0.2_P,0.529,0.502,0.511,0.477
bertscore-sentence-cos-mpnet-topp-0.2_R,0.644,0.569,0.571,0.499
bertscore-sentence-cos-mpnet-topp-0.2_F,0.648,0.572,0.59,0.519
bertscore-sentence-cos-mpnet-topp-0.5_P,0.574,0.543,0.564,0.523
bertscore-sentence-cos-mpnet-topp-0.5_R,0.656,0.582,0.577,0.512
bertscore-sentence-cos-mpnet-topp-0.5_F,0.664,0.575,0.611,0.554
bertscore-sentence-cos-mpnet-topp-0.7_P,0.593,0.589,0.592,0.577
bertscore-sentence-cos-mpnet-topp-0.7_R,0.681,0.596,0.589,0.532
bertscore-sentence-cos-mpnet-topp-0.7_F,0.675,0.612,0.625,0.587
bertscore-sentence-cos-roberta_P,0.539,0.554,0.594,0.589
bertscore-sentence-cos-roberta_R,0.618,0.526,0.514,0.458
bertscore-sentence-cos-roberta_F,0.653,0.577,0.608,0.578
bertscore-sentence-cos-roberta-topk-5_P,0.529,0.503,0.499,0.451
bertscore-sentence-cos-roberta-topk-5_R,0.614,0.549,0.533,0.448
bertscore-sentence-cos-roberta-topk-5_F,0.603,0.541,0.55,0.468
bertscore-sentence-cos-roberta-topk-10_P,0.531,0.508,0.556,0.51
bertscore-sentence-cos-roberta-topk-10_R,0.611,0.525,0.545,0.442
bertscore-sentence-cos-roberta-topk-10_F,0.595,0.53,0.575,0.512
bertscore-sentence-cos-roberta-topk-20_P,0.54,0.525,0.574,0.531
bertscore-sentence-cos-roberta-topk-20_R,0.617,0.534,0.525,0.455
bertscore-sentence-cos-roberta-topk-20_F,0.64,0.574,0.593,0.545
bertscore-sentence-cos-roberta-topp-0.2_P,0.525,0.502,0.51,0.476
bertscore-sentence-cos-roberta-topp-0.2_R,0.61,0.544,0.543,0.454
bertscore-sentence-cos-roberta-topp-0.2_F,0.615,0.544,0.568,0.501
bertscore-sentence-cos-roberta-topp-0.5_P,0.552,0.522,0.565,0.52
bertscore-sentence-cos-roberta-topp-0.5_R,0.646,0.563,0.557,0.488
bertscore-sentence-cos-roberta-topp-0.5_F,0.65,0.575,0.592,0.537
bertscore-sentence-cos-roberta-topp-0.7_P,0.552,0.56,0.565,0.553
bertscore-sentence-cos-roberta-topp-0.7_R,0.644,0.561,0.564,0.505
bertscore-sentence-cos-roberta-topp-0.7_F,0.648,0.573,0.595,0.554
rouge_rouge1,0.744,0.639,0.564,0.476
rouge_rouge2,0.746,0.648,0.591,0.511
rouge_rougeL,0.746,0.641,0.591,0.515
rouge_rougeLsum,0.746,0.641,0.591,0.515
rouge-topk-5_rouge1,0.658,0.585,0.539,0.466
rouge-topk-5_rouge2,0.596,0.537,0.514,0.422
rouge-topk-5_rougeL,0.645,0.58,0.563,0.489
rouge-topk-5_rougeLsum,0.645,0.58,0.563,0.489
rouge-topk-10_rouge1,0.692,0.586,0.562,0.469
rouge-topk-10_rouge2,0.648,0.543,0.556,0.459
rouge-topk-10_rougeL,0.689,0.584,0.597,0.503
rouge-topk-10_rougeLsum,0.689,0.584,0.597,0.503
rouge-topk-20_rouge1,0.731,0.623,0.578,0.478
rouge-topk-20_rouge2,0.697,0.595,0.578,0.479
rouge-topk-20_rougeL,0.709,0.615,0.585,0.497
rouge-topk-20_rougeLsum,0.709,0.615,0.585,0.497
rouge-topp-0.2_rouge1,0.688,0.605,0.599,0.496
rouge-topp-0.2_rouge2,0.625,0.549,0.575,0.478
rouge-topp-0.2_rougeL,0.662,0.592,0.6,0.512
rouge-topp-0.2_rougeLsum,0.662,0.592,0.6,0.512
rouge-topp-0.5_rouge1,0.733,0.632,0.592,0.489
rouge-topp-0.5_rouge2,0.696,0.588,0.59,0.483
rouge-topp-0.5_rougeL,0.723,0.616,0.597,0.509
rouge-topp-0.5_rougeLsum,0.723,0.616,0.597,0.509
rouge-topp-0.7_rouge1,0.738,0.639,0.58,0.488
rouge-topp-0.7_rouge2,0.722,0.636,0.596,0.513
rouge-topp-0.7_rougeL,0.726,0.636,0.604,0.523
rouge-topp-0.7_rougeLsum,0.726,0.636,0.604,0.523
bleurt_scores,0.549,0.507,0.596,0.562
bleurt-topk-5_scores,0.553,0.543,0.548,0.502
bleurt-topk-10_scores,0.549,0.511,0.578,0.549
bleurt-topk-20_scores,0.541,0.503,0.593,0.559
bleurt-topp-0.2_scores,0.552,0.542,0.558,0.524
bleurt-topp-0.5_scores,0.555,0.525,0.58,0.551
bleurt-topp-0.7_scores,0.565,0.52,0.604,0.579
bertscore-sentence-mnli-roberta-not_neutral_P,0.353,0.406,0.356,0.384
bertscore-sentence-mnli-roberta-not_neutral_R,0.34,0.262,0.216,0.159
bertscore-sentence-mnli-roberta-not_neutral_F,0.389,0.317,0.263,0.217
bertscore-sentence-mnli-roberta-entail_only_P,0.379,0.423,0.411,0.467
bertscore-sentence-mnli-roberta-entail_only_R,0.352,0.274,0.307,0.289
bertscore-sentence-mnli-roberta-entail_only_F,0.428,0.343,0.375,0.366
bertscore-sentence-mnli-roberta-entail_contradict_P,0.365,0.423,0.412,0.454
bertscore-sentence-mnli-roberta-entail_contradict_R,0.383,0.326,0.384,0.361
bertscore-sentence-mnli-roberta-entail_contradict_F,0.294,0.279,0.297,0.245
bertscore-sentence-mnli-bart-not_neutral_P,0.11,0.146,0.145,0.15
bertscore-sentence-mnli-bart-not_neutral_R,0.288,0.226,0.132,0.119
bertscore-sentence-mnli-bart-not_neutral_F,0.288,0.222,0.156,0.141
bertscore-sentence-mnli-bart-entail_only_P,0.378,0.41,0.445,0.464
bertscore-sentence-mnli-bart-entail_only_R,0.438,0.347,0.38,0.334
bertscore-sentence-mnli-bart-entail_only_F,0.456,0.37,0.413,0.371
bertscore-sentence-mnli-bart-entail_contradict_P,0.402,0.426,0.467,0.474
bertscore-sentence-mnli-bart-entail_contradict_R,0.435,0.339,0.429,0.392
bertscore-sentence-mnli-bart-entail_contradict_F,0.312,0.243,0.289,0.236
bertscore-sentence-mnli-deberta-not_neutral_P,0.31,0.348,0.361,0.403
bertscore-sentence-mnli-deberta-not_neutral_R,0.183,0.105,0.071,0.061
bertscore-sentence-mnli-deberta-not_neutral_F,0.213,0.147,0.107,0.104
bertscore-sentence-mnli-deberta-entail_only_P,0.366,0.398,0.433,0.451
bertscore-sentence-mnli-deberta-entail_only_R,0.291,0.207,0.243,0.218
bertscore-sentence-mnli-deberta-entail_only_F,0.351,0.286,0.307,0.283
bertscore-sentence-mnli-deberta-entail_contradict_P,0.394,0.434,0.458,0.471
bertscore-sentence-mnli-deberta-entail_contradict_R,0.473,0.384,0.446,0.386
bertscore-sentence-mnli-deberta-entail_contradict_F,0.259,0.189,0.217,0.205
bertscore-anyref-bart-default_precision,0.264,0.29,0.332,0.307
bertscore-anyref-bart-default_recall,0.642,0.576,0.584,0.544
bertscore-anyref-bart-default_f1,0.473,0.472,0.486,0.467
bertscore-anyref-bart-min-0.2-0.5_precision,0.26,0.287,0.326,0.303
bertscore-anyref-bart-min-0.2-0.5_recall,0.648,0.596,0.587,0.544
bertscore-anyref-bart-min-0.2-0.5_f1,0.456,0.454,0.488,0.463
bertscore-anyref-bart-min-0.5-0.7_precision,0.26,0.287,0.326,0.303
bertscore-anyref-bart-min-0.5-0.7_recall,0.648,0.596,0.587,0.544
bertscore-anyref-bart-min-0.5-0.7_f1,0.456,0.454,0.488,0.463
bertscore-anyref-bart-mean-0.2-0.5_precision,0.26,0.287,0.326,0.303
bertscore-anyref-bart-mean-0.2-0.5_recall,0.648,0.596,0.587,0.544
bertscore-anyref-bart-mean-0.2-0.5_f1,0.456,0.454,0.488,0.463
bertscore-anyref-bart-mean-0.5-0.7_precision,0.26,0.287,0.326,0.303
bertscore-anyref-bart-mean-0.5-0.7_recall,0.648,0.596,0.587,0.544
bertscore-anyref-bart-mean-0.5-0.7_f1,0.456,0.454,0.488,0.463
bertscore-anyref-bart-constant-16-32_precision,0.26,0.287,0.326,0.303
bertscore-anyref-bart-constant-16-32_recall,0.648,0.596,0.587,0.544
bertscore-anyref-bart-constant-16-32_f1,0.456,0.454,0.488,0.463
bertscore-anyref-bart-constant-32-64_precision,0.268,0.294,0.332,0.303
bertscore-anyref-bart-constant-32-64_recall,0.644,0.594,0.588,0.545
bertscore-anyref-bart-constant-32-64_f1,0.458,0.458,0.489,0.461
bertscore-anyref-pegasus-xsum-default_precision,-0.011,0.048,0.088,0.123
bertscore-anyref-pegasus-xsum-default_recall,0.477,0.46,0.501,0.509
bertscore-anyref-pegasus-xsum-default_f1,0.271,0.305,0.339,0.351
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,-0.011,0.048,0.088,0.123
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.477,0.46,0.501,0.509
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,0.271,0.305,0.339,0.351
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,-0.011,0.048,0.088,0.123
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.477,0.46,0.501,0.509
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,0.271,0.305,0.339,0.351
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,-0.011,0.048,0.088,0.123
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.477,0.46,0.501,0.509
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,0.271,0.305,0.339,0.351
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,-0.011,0.048,0.088,0.123
