,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore_precision,0.684,0.682,0.646,0.59
bertscore_recall,0.803,0.746,0.714,0.66
bertscore_f1,0.749,0.725,0.688,0.63
bertscore-topk-5_precision,0.565,0.574,0.55,0.505
bertscore-topk-5_recall,0.685,0.641,0.629,0.568
bertscore-topk-5_f1,0.642,0.624,0.605,0.549
bertscore-topk-10_precision,0.631,0.633,0.606,0.559
bertscore-topk-10_recall,0.752,0.701,0.681,0.626
bertscore-topk-10_f1,0.702,0.68,0.654,0.602
bertscore-topk-20_precision,0.676,0.676,0.643,0.589
bertscore-topk-20_recall,0.795,0.741,0.71,0.655
bertscore-topk-20_f1,0.742,0.719,0.685,0.628
bertscore-topp-0.2_precision,0.564,0.571,0.553,0.502
bertscore-topp-0.2_recall,0.728,0.672,0.672,0.607
bertscore-topp-0.2_f1,0.659,0.636,0.625,0.565
bertscore-topp-0.5_precision,0.652,0.653,0.621,0.569
bertscore-topp-0.5_recall,0.794,0.734,0.71,0.656
bertscore-topp-0.5_f1,0.728,0.704,0.674,0.618
bertscore-topp-0.7_precision,0.68,0.678,0.645,0.592
bertscore-topp-0.7_recall,0.802,0.744,0.715,0.664
bertscore-topp-0.7_f1,0.747,0.722,0.688,0.633
bertscore-sentence-cos-mpnet_P,0.721,0.755,0.665,0.642
bertscore-sentence-cos-mpnet_R,0.745,0.74,0.608,0.553
bertscore-sentence-cos-mpnet_F,0.764,0.768,0.647,0.598
bertscore-sentence-cos-mpnet-topk-5_P,0.636,0.637,0.573,0.519
bertscore-sentence-cos-mpnet-topk-5_R,0.679,0.648,0.59,0.519
bertscore-sentence-cos-mpnet-topk-5_F,0.681,0.661,0.598,0.532
bertscore-sentence-cos-mpnet-topk-10_P,0.672,0.676,0.617,0.562
bertscore-sentence-cos-mpnet-topk-10_R,0.719,0.7,0.613,0.539
bertscore-sentence-cos-mpnet-topk-10_F,0.721,0.709,0.631,0.562
bertscore-sentence-cos-mpnet-topk-20_P,0.697,0.707,0.638,0.585
bertscore-sentence-cos-mpnet-topk-20_R,0.736,0.729,0.611,0.547
bertscore-sentence-cos-mpnet-topk-20_F,0.743,0.741,0.637,0.575
bertscore-sentence-cos-mpnet-topp-0.2_P,0.64,0.639,0.578,0.528
bertscore-sentence-cos-mpnet-topp-0.2_R,0.713,0.684,0.622,0.553
bertscore-sentence-cos-mpnet-topp-0.2_F,0.702,0.683,0.619,0.553
bertscore-sentence-cos-mpnet-topp-0.5_P,0.69,0.695,0.629,0.572
bertscore-sentence-cos-mpnet-topp-0.5_R,0.746,0.734,0.624,0.564
bertscore-sentence-cos-mpnet-topp-0.5_F,0.748,0.741,0.645,0.583
bertscore-sentence-cos-mpnet-topp-0.7_P,0.71,0.734,0.642,0.605
bertscore-sentence-cos-mpnet-topp-0.7_R,0.748,0.745,0.616,0.562
bertscore-sentence-cos-mpnet-topp-0.7_F,0.761,0.766,0.648,0.596
bertscore-sentence-cos-roberta_P,0.704,0.745,0.648,0.624
