approach,dataset,eval_metric,corr_metric,pair,value
trad,newsroom,rouge1,pearsonr,"(Coherence, scores)",0.1301613327981303
trad,newsroom,rouge1,pearsonr,"(Informativeness, scores)",0.1716623628681213
trad,newsroom,rouge1,pearsonr,"(Fluency, scores)",0.09931131965458487
trad,newsroom,rouge1,pearsonr,"(Relevance, scores)",0.22263496414191486
trad,newsroom,rouge1,kendalltau,"(Coherence, scores)",0.12762067166136826
trad,newsroom,rouge1,kendalltau,"(Informativeness, scores)",0.15689137345826173
trad,newsroom,rouge1,kendalltau,"(Fluency, scores)",0.09419723509738352
trad,newsroom,rouge1,kendalltau,"(Relevance, scores)",0.1728205331745226
trad,newsroom,rouge1,spearmanr,"(Coherence, scores)",0.18061345208594612
trad,newsroom,rouge1,spearmanr,"(Informativeness, scores)",0.2226987943398279
trad,newsroom,rouge1,spearmanr,"(Fluency, scores)",0.13308575649076185
trad,newsroom,rouge1,spearmanr,"(Relevance, scores)",0.2405201459687705
trad,newsroom,rouge2,pearsonr,"(Coherence, scores)",0.06055476722237475
trad,newsroom,rouge2,pearsonr,"(Informativeness, scores)",0.1264604861914584
trad,newsroom,rouge2,pearsonr,"(Fluency, scores)",0.04666160017111359
trad,newsroom,rouge2,pearsonr,"(Relevance, scores)",0.16259964402020746
trad,newsroom,rouge2,kendalltau,"(Coherence, scores)",0.13632573448061952
trad,newsroom,rouge2,kendalltau,"(Informativeness, scores)",0.21815046512261013
trad,newsroom,rouge2,kendalltau,"(Fluency, scores)",0.12205424214209497
trad,newsroom,rouge2,kendalltau,"(Relevance, scores)",0.2178940859332294
trad,newsroom,rouge2,spearmanr,"(Coherence, scores)",0.17385375422639776
trad,newsroom,rouge2,spearmanr,"(Informativeness, scores)",0.2817900495002393
trad,newsroom,rouge2,spearmanr,"(Fluency, scores)",0.1563823595708934
trad,newsroom,rouge2,spearmanr,"(Relevance, scores)",0.2776920226062856
trad,newsroom,rougeL,pearsonr,"(Coherence, scores)",0.08202572228590645
trad,newsroom,rougeL,pearsonr,"(Informativeness, scores)",0.13513062413512436
trad,newsroom,rougeL,pearsonr,"(Fluency, scores)",0.0520951377161758
trad,newsroom,rougeL,pearsonr,"(Relevance, scores)",0.1869119809187616
trad,newsroom,rougeL,kendalltau,"(Coherence, scores)",0.09535757031735373
trad,newsroom,rougeL,kendalltau,"(Informativeness, scores)",0.12622794284865455
trad,newsroom,rougeL,kendalltau,"(Fluency, scores)",0.0640200084081104
trad,newsroom,rougeL,kendalltau,"(Relevance, scores)",0.14796342277360888
trad,newsroom,rougeL,spearmanr,"(Coherence, scores)",0.13498056155332733
trad,newsroom,rougeL,spearmanr,"(Informativeness, scores)",0.18078647317969523
trad,newsroom,rougeL,spearmanr,"(Fluency, scores)",0.09038894572560736
trad,newsroom,rougeL,spearmanr,"(Relevance, scores)",0.20503849125550566
trad,newsroom,rougeLsum,pearsonr,"(Coherence, scores)",0.08202572228590645
