,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore_precision,0.31,0.204,0.114,0.081
bertscore_recall,0.216,0.226,-0.015,-0.033
bertscore_f1,0.266,0.211,0.033,0.015
bertscore-topk-5_precision,0.283,0.225,0.089,0.051
bertscore-topk-5_recall,0.197,0.153,0.02,0.031
bertscore-topk-5_f1,0.295,0.227,0.096,0.105
bertscore-topk-10_precision,0.304,0.244,0.104,0.091
bertscore-topk-10_recall,0.13,0.136,-0.051,-0.066
bertscore-topk-10_f1,0.252,0.217,0.053,0.038
bertscore-topk-20_precision,0.307,0.21,0.113,0.079
bertscore-topk-20_recall,0.197,0.194,-0.011,-0.041
bertscore-topk-20_f1,0.249,0.205,0.03,0.008
bertscore-topp-0.2_precision,0.29,0.194,0.242,0.175
bertscore-topp-0.2_recall,0.138,0.12,-0.096,-0.149
bertscore-topp-0.2_f1,0.199,0.164,-0.005,-0.047
bertscore-topp-0.5_precision,0.35,0.239,0.184,0.173
bertscore-topp-0.5_recall,0.155,0.173,-0.094,-0.134
bertscore-topp-0.5_f1,0.211,0.195,-0.021,-0.05
bertscore-topp-0.7_precision,0.327,0.222,0.145,0.127
bertscore-topp-0.7_recall,0.187,0.209,-0.051,-0.082
bertscore-topp-0.7_f1,0.24,0.203,0.007,-0.013
bertscore-sentence-cos-mpnet_P,0.349,0.395,0.255,0.29
bertscore-sentence-cos-mpnet_R,0.217,0.216,-0.021,-0.023
bertscore-sentence-cos-mpnet_F,0.239,0.237,0.014,0.011
bertscore-sentence-cos-mpnet-topk-5_P,0.284,0.258,0.074,0.083
bertscore-sentence-cos-mpnet-topk-5_R,0.272,0.25,0.107,0.015
bertscore-sentence-cos-mpnet-topk-5_F,0.31,0.289,0.118,0.043
bertscore-sentence-cos-mpnet-topk-10_P,0.308,0.261,0.12,0.125
bertscore-sentence-cos-mpnet-topk-10_R,0.352,0.264,0.148,0.117
bertscore-sentence-cos-mpnet-topk-10_F,0.371,0.287,0.162,0.141
bertscore-sentence-cos-mpnet-topk-20_P,0.323,0.257,0.124,0.132
bertscore-sentence-cos-mpnet-topk-20_R,0.314,0.242,0.106,0.118
bertscore-sentence-cos-mpnet-topk-20_F,0.339,0.261,0.118,0.116
bertscore-sentence-cos-mpnet-topp-0.2_P,0.295,0.242,0.297,0.304
bertscore-sentence-cos-mpnet-topp-0.2_R,0.239,0.202,0.002,-0.09
bertscore-sentence-cos-mpnet-topp-0.2_F,0.324,0.233,0.077,0.033
bertscore-sentence-cos-mpnet-topp-0.5_P,0.306,0.248,0.28,0.281
bertscore-sentence-cos-mpnet-topp-0.5_R,0.284,0.219,0.01,-0.009
bertscore-sentence-cos-mpnet-topp-0.5_F,0.327,0.248,0.068,0.041
bertscore-sentence-cos-mpnet-topp-0.7_P,0.367,0.339,0.308,0.333
bertscore-sentence-cos-mpnet-topp-0.7_R,0.275,0.251,0.005,-0.001
bertscore-sentence-cos-mpnet-topp-0.7_F,0.319,0.287,0.074,0.045
bertscore-sentence-cos-roberta_P,0.343,0.384,0.266,0.304
bertscore-sentence-cos-roberta_R,0.217,0.248,0.003,-0.005
bertscore-sentence-cos-roberta_F,0.265,0.297,0.055,0.051
bertscore-sentence-cos-roberta-topk-5_P,0.298,0.265,0.09,0.112
bertscore-sentence-cos-roberta-topk-5_R,0.308,0.279,0.158,0.071
bertscore-sentence-cos-roberta-topk-5_F,0.31,0.295,0.131,0.072
bertscore-sentence-cos-roberta-topk-10_P,0.33,0.271,0.153,0.153
bertscore-sentence-cos-roberta-topk-10_R,0.354,0.338,0.211,0.17
bertscore-sentence-cos-roberta-topk-10_F,0.376,0.297,0.222,0.194
bertscore-sentence-cos-roberta-topk-20_P,0.323,0.26,0.144,0.164
bertscore-sentence-cos-roberta-topk-20_R,0.318,0.305,0.155,0.15
bertscore-sentence-cos-roberta-topk-20_F,0.342,0.321,0.152,0.137
bertscore-sentence-cos-roberta-topp-0.2_P,0.314,0.252,0.29,0.301
bertscore-sentence-cos-roberta-topp-0.2_R,0.274,0.239,0.035,-0.039
bertscore-sentence-cos-roberta-topp-0.2_F,0.318,0.26,0.108,0.062
bertscore-sentence-cos-roberta-topp-0.5_P,0.315,0.274,0.276,0.305
bertscore-sentence-cos-roberta-topp-0.5_R,0.299,0.28,0.044,0.032
bertscore-sentence-cos-roberta-topp-0.5_F,0.334,0.276,0.092,0.082
bertscore-sentence-cos-roberta-topp-0.7_P,0.338,0.337,0.282,0.332
bertscore-sentence-cos-roberta-topp-0.7_R,0.274,0.277,0.033,0.024
bertscore-sentence-cos-roberta-topp-0.7_F,0.326,0.329,0.105,0.097
rouge_rouge1,0.106,0.076,-0.161,-0.215
rouge_rouge2,0.131,0.101,-0.14,-0.208
rouge_rougeL,0.124,0.086,-0.15,-0.21
rouge_rougeLsum,0.124,0.086,-0.15,-0.21
rouge-topk-5_rouge1,0.221,0.12,-0.018,-0.017
rouge-topk-5_rouge2,0.217,0.131,-0.019,-0.04
rouge-topk-5_rougeL,0.223,0.123,0.001,-0.034
rouge-topk-5_rougeLsum,0.223,0.123,0.001,-0.034
rouge-topk-10_rouge1,0.141,0.058,-0.046,-0.087
rouge-topk-10_rouge2,0.157,0.078,-0.054,-0.089
rouge-topk-10_rougeL,0.139,0.051,-0.058,-0.114
rouge-topk-10_rougeLsum,0.139,0.051,-0.058,-0.114
rouge-topk-20_rouge1,0.097,0.065,-0.106,-0.145
rouge-topk-20_rouge2,0.146,0.074,-0.074,-0.12
rouge-topk-20_rougeL,0.116,0.07,-0.084,-0.128
rouge-topk-20_rougeLsum,0.116,0.07,-0.084,-0.128
rouge-topp-0.2_rouge1,0.129,0.082,-0.094,-0.134
rouge-topp-0.2_rouge2,0.151,0.092,-0.068,-0.118
rouge-topp-0.2_rougeL,0.133,0.073,-0.085,-0.135
