,Pyramid,Linguistic,Overall
bertscore_precision,0.589,0.012,0.339
bertscore_recall,0.292,-0.036,0.34
bertscore_f1,0.481,-0.012,0.368
rouge_rouge1,0.241,0.027,0.317
rouge_rouge2,0.36,0.007,0.345
rouge_rougeL,0.203,0.038,0.314
rouge_rougeLsum,0.237,0.031,0.318
bleurt_scores,0.385,0.085,0.352
bertscore-deberta-large-mnli_precision,0.633,0.07,0.418
bertscore-deberta-large-mnli_recall,0.391,0.043,0.475
bertscore-deberta-large-mnli_f1,0.545,0.066,0.482
bertscore-bart-large-mnli_precision,0.626,0.046,0.425
bertscore-bart-large-mnli_recall,0.276,0.024,0.408
bertscore-bart-large-mnli_f1,0.451,0.041,0.452
bertscore-deberta-large_precision,0.606,0.058,0.398
bertscore-deberta-large_recall,0.333,0.038,0.442
bertscore-deberta-large_f1,0.488,0.057,0.453
bertscore-bart-large_precision,0.634,0.041,0.437
bertscore-bart-large_recall,0.285,0.035,0.424
bertscore-bart-large_f1,0.453,0.047,0.467
bertscore-roberta-large-mnli_precision,0.63,0.031,0.394
bertscore-roberta-large-mnli_recall,0.447,0.005,0.448
bertscore-roberta-large-mnli_f1,0.583,0.023,0.441
