,InformativenessRating,RelevanceRating,CoherenceRating,FluencyRating
bertscore_precision,0.44,0.304,0.166,0.131
bertscore_recall,0.311,0.323,-0.026,-0.054
bertscore_f1,0.36,0.293,0.043,0.012
bertscore-topk-5_precision,0.396,0.317,0.141,0.076
bertscore-topk-5_recall,0.276,0.221,0.018,0.038
bertscore-topk-5_f1,0.423,0.317,0.149,0.131
bertscore-topk-10_precision,0.437,0.338,0.173,0.141
bertscore-topk-10_recall,0.188,0.195,-0.078,-0.093
bertscore-topk-10_f1,0.354,0.3,0.085,0.055
bertscore-topk-20_precision,0.434,0.306,0.167,0.124
bertscore-topk-20_recall,0.282,0.291,-0.022,-0.061
bertscore-topk-20_f1,0.347,0.28,0.04,0.003
bertscore-topp-0.2_precision,0.399,0.29,0.339,0.258
bertscore-topp-0.2_recall,0.203,0.176,-0.153,-0.225
bertscore-topp-0.2_f1,0.284,0.229,-0.012,-0.08
bertscore-topp-0.5_precision,0.49,0.34,0.286,0.248
bertscore-topp-0.5_recall,0.218,0.244,-0.137,-0.203
bertscore-topp-0.5_f1,0.283,0.262,-0.046,-0.095
bertscore-topp-0.7_precision,0.471,0.325,0.212,0.19
bertscore-topp-0.7_recall,0.262,0.296,-0.079,-0.124
bertscore-topp-0.7_f1,0.329,0.278,0.009,-0.032
bertscore-sentence-cos-mpnet_P,0.498,0.566,0.362,0.423
bertscore-sentence-cos-mpnet_R,0.297,0.317,-0.044,-0.032
bertscore-sentence-cos-mpnet_F,0.332,0.346,0.005,0.016
bertscore-sentence-cos-mpnet-topk-5_P,0.415,0.378,0.129,0.135
bertscore-sentence-cos-mpnet-topk-5_R,0.393,0.366,0.147,0.008
bertscore-sentence-cos-mpnet-topk-5_F,0.438,0.415,0.165,0.059
bertscore-sentence-cos-mpnet-topk-10_P,0.465,0.388,0.182,0.192
bertscore-sentence-cos-mpnet-topk-10_R,0.486,0.385,0.217,0.182
bertscore-sentence-cos-mpnet-topk-10_F,0.526,0.425,0.233,0.209
bertscore-sentence-cos-mpnet-topk-20_P,0.467,0.371,0.181,0.201
bertscore-sentence-cos-mpnet-topk-20_R,0.426,0.374,0.156,0.171
bertscore-sentence-cos-mpnet-topk-20_F,0.467,0.398,0.177,0.18
bertscore-sentence-cos-mpnet-topp-0.2_P,0.429,0.352,0.419,0.432
bertscore-sentence-cos-mpnet-topp-0.2_R,0.336,0.297,-0.017,-0.118
bertscore-sentence-cos-mpnet-topp-0.2_F,0.456,0.36,0.121,0.058
bertscore-sentence-cos-mpnet-topp-0.5_P,0.451,0.36,0.378,0.41
bertscore-sentence-cos-mpnet-topp-0.5_R,0.406,0.337,0.026,0.012
bertscore-sentence-cos-mpnet-topp-0.5_F,0.479,0.388,0.117,0.107
bertscore-sentence-cos-mpnet-topp-0.7_P,0.54,0.492,0.435,0.497
bertscore-sentence-cos-mpnet-topp-0.7_R,0.377,0.371,0.011,0.012
bertscore-sentence-cos-mpnet-topp-0.7_F,0.456,0.428,0.107,0.101
bertscore-sentence-cos-roberta_P,0.485,0.541,0.381,0.445
bertscore-sentence-cos-roberta_R,0.306,0.36,-0.005,-0.001
bertscore-sentence-cos-roberta_F,0.372,0.424,0.073,0.073
bertscore-sentence-cos-roberta-topk-5_P,0.416,0.389,0.145,0.166
bertscore-sentence-cos-roberta-topk-5_R,0.435,0.393,0.221,0.083
bertscore-sentence-cos-roberta-topk-5_F,0.439,0.42,0.194,0.105
bertscore-sentence-cos-roberta-topk-10_P,0.479,0.4,0.206,0.242
bertscore-sentence-cos-roberta-topk-10_R,0.518,0.483,0.307,0.261
bertscore-sentence-cos-roberta-topk-10_F,0.539,0.43,0.322,0.299
bertscore-sentence-cos-roberta-topk-20_P,0.478,0.388,0.204,0.268
bertscore-sentence-cos-roberta-topk-20_R,0.442,0.445,0.219,0.22
bertscore-sentence-cos-roberta-topk-20_F,0.487,0.467,0.233,0.223
bertscore-sentence-cos-roberta-topp-0.2_P,0.432,0.374,0.408,0.429
bertscore-sentence-cos-roberta-topp-0.2_R,0.379,0.345,0.049,-0.039
bertscore-sentence-cos-roberta-topp-0.2_F,0.44,0.372,0.153,0.107
bertscore-sentence-cos-roberta-topp-0.5_P,0.456,0.399,0.384,0.444
bertscore-sentence-cos-roberta-topp-0.5_R,0.424,0.412,0.09,0.08
bertscore-sentence-cos-roberta-topp-0.5_F,0.495,0.42,0.159,0.163
bertscore-sentence-cos-roberta-topp-0.7_P,0.505,0.49,0.417,0.492
bertscore-sentence-cos-roberta-topp-0.7_R,0.387,0.409,0.051,0.048
bertscore-sentence-cos-roberta-topp-0.7_F,0.471,0.478,0.156,0.162
rouge_rouge1,0.184,0.111,-0.229,-0.302
rouge_rouge2,0.213,0.144,-0.202,-0.285
rouge_rougeL,0.204,0.127,-0.221,-0.301
rouge_rougeLsum,0.204,0.127,-0.221,-0.301
rouge-topk-5_rouge1,0.304,0.153,-0.008,-0.032
rouge-topk-5_rouge2,0.294,0.178,-0.013,-0.061
rouge-topk-5_rougeL,0.292,0.175,0.009,-0.053
rouge-topk-5_rougeLsum,0.292,0.175,0.009,-0.053
rouge-topk-10_rouge1,0.183,0.058,-0.07,-0.137
rouge-topk-10_rouge2,0.226,0.092,-0.068,-0.129
rouge-topk-10_rougeL,0.185,0.057,-0.083,-0.16
rouge-topk-10_rougeLsum,0.185,0.057,-0.083,-0.16
rouge-topk-20_rouge1,0.155,0.068,-0.125,-0.208
rouge-topk-20_rouge2,0.215,0.079,-0.097,-0.16
rouge-topk-20_rougeL,0.181,0.077,-0.119,-0.203
rouge-topk-20_rougeLsum,0.181,0.077,-0.119,-0.203
rouge-topp-0.2_rouge1,0.2,0.102,-0.128,-0.197
rouge-topp-0.2_rouge2,0.22,0.121,-0.085,-0.175
rouge-topp-0.2_rougeL,0.195,0.098,-0.119,-0.21
rouge-topp-0.2_rougeLsum,0.195,0.098,-0.119,-0.21
rouge-topp-0.5_rouge1,0.149,0.084,-0.235,-0.315
rouge-topp-0.5_rouge2,0.209,0.125,-0.157,-0.228
rouge-topp-0.5_rougeL,0.164,0.097,-0.209,-0.298
rouge-topp-0.5_rougeLsum,0.164,0.097,-0.209,-0.298
rouge-topp-0.7_rouge1,0.174,0.121,-0.211,-0.289
rouge-topp-0.7_rouge2,0.191,0.136,-0.189,-0.264
rouge-topp-0.7_rougeL,0.165,0.099,-0.228,-0.308
rouge-topp-0.7_rougeLsum,0.165,0.099,-0.228,-0.308
bleurt_scores,0.325,0.427,0.033,-0.063
bleurt-topk-5_scores,0.206,0.19,-0.039,-0.153
bleurt-topk-10_scores,0.277,0.314,-0.036,-0.119
bleurt-topk-20_scores,0.329,0.422,0.041,-0.077
bleurt-topp-0.2_scores,0.248,0.282,0.032,-0.122
bleurt-topp-0.5_scores,0.281,0.325,0.001,-0.103
bleurt-topp-0.7_scores,0.296,0.369,0.025,-0.081
bertscore-anyref-pegasus-large_precision,0.563,0.278,0.394,0.343
bertscore-anyref-pegasus-large_recall,0.403,0.255,0.146,0.05
bertscore-anyref-pegasus-large_f1,0.516,0.286,0.261,0.187
rouge-anyref-pegasus-large_rouge1,0.486,0.192,0.248,0.094
rouge-anyref-pegasus-large_rouge2,0.448,0.109,0.195,0.092
rouge-anyref-pegasus-large_rougeL,0.455,0.138,0.205,0.083
rouge-anyref-pegasus-large_rougeLsum,0.455,0.138,0.205,0.083
bleurt-anyref-pegasus-large_scores,0.37,0.231,0.18,0.087
bertscore-sentence-mnli-roberta-not_neutral_P,0.087,0.155,0.185,0.196
bertscore-sentence-mnli-roberta-not_neutral_R,-0.026,-0.14,-0.181,-0.228
bertscore-sentence-mnli-roberta-not_neutral_F,0.046,-0.085,-0.121,-0.156
bertscore-sentence-mnli-roberta-entail_only_P,0.176,0.147,0.093,-0.064
bertscore-sentence-mnli-roberta-entail_only_R,-0.089,-0.202,-0.327,-0.445
bertscore-sentence-mnli-roberta-entail_only_F,-0.055,-0.189,-0.297,-0.42
bertscore-sentence-mnli-roberta-entail_contradict_P,0.185,0.188,0.116,-0.024
bertscore-sentence-mnli-roberta-entail_contradict_R,-0.106,-0.181,-0.263,-0.406
bertscore-sentence-mnli-roberta-entail_contradict_F,-0.146,-0.18,-0.286,-0.389
bertscore-sentence-mnli-bart-not_neutral_P,-0.096,-0.164,0.093,0.054
