,litepyramid_recall
bertscore_precision,0.013
bertscore_recall,0.091
bertscore_f1,0.057
bertscore-topk-5_precision,-0.037
bertscore-topk-5_recall,0.031
bertscore-topk-5_f1,-0.006
bertscore-topk-10_precision,0.008
bertscore-topk-10_recall,0.105
bertscore-topk-10_f1,0.056
bertscore-topk-20_precision,0.012
bertscore-topk-20_recall,0.087
bertscore-topk-20_f1,0.055
bertscore-topp-0.2_precision,-0.002
bertscore-topp-0.2_recall,0.066
bertscore-topp-0.2_f1,0.032
bertscore-topp-0.5_precision,0.008
bertscore-topp-0.5_recall,0.092
bertscore-topp-0.5_f1,0.054
bertscore-topp-0.7_precision,0.019
bertscore-topp-0.7_recall,0.092
bertscore-topp-0.7_f1,0.063
bertscore-sentence-cos-mpnet_P,0.009
bertscore-sentence-cos-mpnet_R,0.09
bertscore-sentence-cos-mpnet_F,0.074
bertscore-sentence-cos-mpnet-topk-5_P,-0.016
bertscore-sentence-cos-mpnet-topk-5_R,0.029
bertscore-sentence-cos-mpnet-topk-5_F,0.002
bertscore-sentence-cos-mpnet-topk-10_P,0.02
bertscore-sentence-cos-mpnet-topk-10_R,0.117
bertscore-sentence-cos-mpnet-topk-10_F,0.074
bertscore-sentence-cos-mpnet-topk-20_P,0.012
bertscore-sentence-cos-mpnet-topk-20_R,0.092
bertscore-sentence-cos-mpnet-topk-20_F,0.073
bertscore-sentence-cos-mpnet-topp-0.2_P,0.019
bertscore-sentence-cos-mpnet-topp-0.2_R,0.07
bertscore-sentence-cos-mpnet-topp-0.2_F,0.04
bertscore-sentence-cos-mpnet-topp-0.5_P,0.031
bertscore-sentence-cos-mpnet-topp-0.5_R,0.107
bertscore-sentence-cos-mpnet-topp-0.5_F,0.087
bertscore-sentence-cos-mpnet-topp-0.7_P,0.022
bertscore-sentence-cos-mpnet-topp-0.7_R,0.095
bertscore-sentence-cos-mpnet-topp-0.7_F,0.076
bertscore-sentence-cos-roberta_P,-0.001
bertscore-sentence-cos-roberta_R,0.061
bertscore-sentence-cos-roberta_F,0.041
bertscore-sentence-cos-roberta-topk-5_P,-0.028
bertscore-sentence-cos-roberta-topk-5_R,0.013
bertscore-sentence-cos-roberta-topk-5_F,-0.012
bertscore-sentence-cos-roberta-topk-10_P,0.012
bertscore-sentence-cos-roberta-topk-10_R,0.094
bertscore-sentence-cos-roberta-topk-10_F,0.048
bertscore-sentence-cos-roberta-topk-20_P,-0.001
bertscore-sentence-cos-roberta-topk-20_R,0.064
bertscore-sentence-cos-roberta-topk-20_F,0.043
bertscore-sentence-cos-roberta-topp-0.2_P,0.01
bertscore-sentence-cos-roberta-topp-0.2_R,0.061
bertscore-sentence-cos-roberta-topp-0.2_F,0.03
bertscore-sentence-cos-roberta-topp-0.5_P,0.018
bertscore-sentence-cos-roberta-topp-0.5_R,0.082
bertscore-sentence-cos-roberta-topp-0.5_F,0.055
bertscore-sentence-cos-roberta-topp-0.7_P,0.01
bertscore-sentence-cos-roberta-topp-0.7_R,0.072
bertscore-sentence-cos-roberta-topp-0.7_F,0.049
rouge_rouge1,0.135
rouge_rouge2,0.121
rouge_rougeL,0.09
rouge_rougeLsum,0.09
rouge-topk-5_rouge1,0.034
rouge-topk-5_rouge2,0.009
rouge-topk-5_rougeL,0.016
rouge-topk-5_rougeLsum,0.016
rouge-topk-10_rouge1,0.138
rouge-topk-10_rouge2,0.109
rouge-topk-10_rougeL,0.082
rouge-topk-10_rougeLsum,0.082
rouge-topk-20_rouge1,0.133
rouge-topk-20_rouge2,0.112
rouge-topk-20_rougeL,0.082
rouge-topk-20_rougeLsum,0.082
rouge-topp-0.2_rouge1,0.082
rouge-topp-0.2_rouge2,0.059
rouge-topp-0.2_rougeL,0.054
rouge-topp-0.2_rougeLsum,0.054
rouge-topp-0.5_rouge1,0.133
rouge-topp-0.5_rouge2,0.106
rouge-topp-0.5_rougeL,0.086
rouge-topp-0.5_rougeLsum,0.086
rouge-topp-0.7_rouge1,0.136
rouge-topp-0.7_rouge2,0.118
rouge-topp-0.7_rougeL,0.084
rouge-topp-0.7_rougeLsum,0.084
bleurt_scores,0.083
bleurt-topk-5_scores,-0.007
bleurt-topk-10_scores,0.102
bleurt-topk-20_scores,0.086
bleurt-topp-0.2_scores,0.055
bleurt-topp-0.5_scores,0.085
bleurt-topp-0.7_scores,0.072
bertscore-anyref-pegasus-large_precision,0.029
bertscore-anyref-pegasus-large_recall,0.085
bertscore-anyref-pegasus-large_f1,0.056
rouge-anyref-pegasus-large_rouge1,0.107
rouge-anyref-pegasus-large_rouge2,0.106
rouge-anyref-pegasus-large_rougeL,0.076
rouge-anyref-pegasus-large_rougeLsum,0.076
bleurt-anyref-pegasus-large_scores,0.081
bertscore-sentence-mnli-roberta-not_neutral_P,0.057
bertscore-sentence-mnli-roberta-not_neutral_R,0.043
bertscore-sentence-mnli-roberta-not_neutral_F,0.052
bertscore-sentence-mnli-roberta-entail_only_P,0.024
bertscore-sentence-mnli-roberta-entail_only_R,-0.004
bertscore-sentence-mnli-roberta-entail_only_F,0.005
bertscore-sentence-mnli-roberta-entail_contradict_P,0.024
bertscore-sentence-mnli-roberta-entail_contradict_R,0.016
bertscore-sentence-mnli-roberta-entail_contradict_F,0.025
bertscore-sentence-mnli-bart-not_neutral_P,0.012
bertscore-sentence-mnli-bart-not_neutral_R,-0.003
bertscore-sentence-mnli-bart-not_neutral_F,0.001
bertscore-sentence-mnli-bart-entail_only_P,0.092
bertscore-sentence-mnli-bart-entail_only_R,0.038
bertscore-sentence-mnli-bart-entail_only_F,0.042
bertscore-sentence-mnli-bart-entail_contradict_P,0.104
bertscore-sentence-mnli-bart-entail_contradict_R,0.09
bertscore-sentence-mnli-bart-entail_contradict_F,0.073
bertscore-sentence-mnli-deberta-xlarge-not_neutral_P,0.038
bertscore-sentence-mnli-deberta-xlarge-not_neutral_R,0.045
bertscore-sentence-mnli-deberta-xlarge-not_neutral_F,0.04
bertscore-sentence-mnli-deberta-xlarge-entail_only_P,0.039
bertscore-sentence-mnli-deberta-xlarge-entail_only_R,0.02
bertscore-sentence-mnli-deberta-xlarge-entail_only_F,0.022
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_P,0.04
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_R,0.038
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_F,0.042
bertscore-anyref-bart-default_precision,0.06
bertscore-anyref-bart-default_recall,0.149
bertscore-anyref-bart-default_f1,0.118
bertscore-anyref-bart-min-0.2-0.5_precision,0.066
bertscore-anyref-bart-min-0.2-0.5_recall,0.156
bertscore-anyref-bart-min-0.2-0.5_f1,0.126
bertscore-anyref-bart-min-0.5-0.7_precision,0.066
bertscore-anyref-bart-min-0.5-0.7_recall,0.156
bertscore-anyref-bart-min-0.5-0.7_f1,0.126
bertscore-anyref-bart-mean-0.2-0.5_precision,0.066
bertscore-anyref-bart-mean-0.2-0.5_recall,0.156
bertscore-anyref-bart-mean-0.2-0.5_f1,0.126
bertscore-anyref-bart-mean-0.5-0.7_precision,0.066
bertscore-anyref-bart-mean-0.5-0.7_recall,0.156
bertscore-anyref-bart-mean-0.5-0.7_f1,0.126
bertscore-anyref-bart-constant-16-32_precision,0.066
bertscore-anyref-bart-constant-16-32_recall,0.156
bertscore-anyref-bart-constant-16-32_f1,0.126
bertscore-anyref-bart-constant-32-64_precision,0.066
bertscore-anyref-bart-constant-32-64_recall,0.156
bertscore-anyref-bart-constant-32-64_f1,0.126
rouge-anyref-bart-default_rouge1,0.147
rouge-anyref-bart-default_rouge2,0.151
rouge-anyref-bart-default_rougeL,0.132
rouge-anyref-bart-default_rougeLsum,0.132
rouge-anyref-bart-min-0.2-0.5_rouge1,0.156
rouge-anyref-bart-min-0.2-0.5_rouge2,0.161
rouge-anyref-bart-min-0.2-0.5_rougeL,0.141
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.141
rouge-anyref-bart-min-0.5-0.7_rouge1,0.156
rouge-anyref-bart-min-0.5-0.7_rouge2,0.161
rouge-anyref-bart-min-0.5-0.7_rougeL,0.141
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.141
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.156
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.161
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.141
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.141
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.156
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.161
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.141
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.141
rouge-anyref-bart-constant-16-32_rouge1,0.156
rouge-anyref-bart-constant-16-32_rouge2,0.161
