,litepyramid_recall
bertscore_precision,0.029
bertscore_recall,0.07
bertscore_f1,0.049
bertscore-topk-5_precision,-0.033
bertscore-topk-5_recall,0.025
bertscore-topk-5_f1,-0.013
bertscore-topk-10_precision,0.025
bertscore-topk-10_recall,0.082
bertscore-topk-10_f1,0.039
bertscore-topk-20_precision,0.029
bertscore-topk-20_recall,0.068
bertscore-topk-20_f1,0.04
bertscore-topp-0.2_precision,0.001
bertscore-topp-0.2_recall,0.03
bertscore-topp-0.2_f1,0.015
bertscore-topp-0.5_precision,0.024
bertscore-topp-0.5_recall,0.073
bertscore-topp-0.5_f1,0.043
bertscore-topp-0.7_precision,0.034
bertscore-topp-0.7_recall,0.069
bertscore-topp-0.7_f1,0.048
bertscore-sentence-cos-mpnet_P,-0.008
bertscore-sentence-cos-mpnet_R,0.058
bertscore-sentence-cos-mpnet_F,0.059
bertscore-sentence-cos-mpnet-topk-5_P,-0.016
bertscore-sentence-cos-mpnet-topk-5_R,-0.001
bertscore-sentence-cos-mpnet-topk-5_F,0.002
bertscore-sentence-cos-mpnet-topk-10_P,0.016
bertscore-sentence-cos-mpnet-topk-10_R,0.095
bertscore-sentence-cos-mpnet-topk-10_F,0.08
bertscore-sentence-cos-mpnet-topk-20_P,-0.005
bertscore-sentence-cos-mpnet-topk-20_R,0.069
bertscore-sentence-cos-mpnet-topk-20_F,0.06
bertscore-sentence-cos-mpnet-topp-0.2_P,0.017
bertscore-sentence-cos-mpnet-topp-0.2_R,0.063
bertscore-sentence-cos-mpnet-topp-0.2_F,0.044
bertscore-sentence-cos-mpnet-topp-0.5_P,0.027
bertscore-sentence-cos-mpnet-topp-0.5_R,0.082
bertscore-sentence-cos-mpnet-topp-0.5_F,0.067
bertscore-sentence-cos-mpnet-topp-0.7_P,0.007
bertscore-sentence-cos-mpnet-topp-0.7_R,0.063
bertscore-sentence-cos-mpnet-topp-0.7_F,0.058
bertscore-sentence-cos-roberta_P,-0.016
bertscore-sentence-cos-roberta_R,0.039
bertscore-sentence-cos-roberta_F,0.019
bertscore-sentence-cos-roberta-topk-5_P,-0.026
bertscore-sentence-cos-roberta-topk-5_R,-0.002
bertscore-sentence-cos-roberta-topk-5_F,-0.007
bertscore-sentence-cos-roberta-topk-10_P,-0.004
bertscore-sentence-cos-roberta-topk-10_R,0.072
bertscore-sentence-cos-roberta-topk-10_F,0.056
bertscore-sentence-cos-roberta-topk-20_P,-0.015
bertscore-sentence-cos-roberta-topk-20_R,0.041
bertscore-sentence-cos-roberta-topk-20_F,0.025
bertscore-sentence-cos-roberta-topp-0.2_P,-0.0
bertscore-sentence-cos-roberta-topp-0.2_R,0.046
bertscore-sentence-cos-roberta-topp-0.2_F,0.032
bertscore-sentence-cos-roberta-topp-0.5_P,0.015
bertscore-sentence-cos-roberta-topp-0.5_R,0.059
bertscore-sentence-cos-roberta-topp-0.5_F,0.042
bertscore-sentence-cos-roberta-topp-0.7_P,-0.004
bertscore-sentence-cos-roberta-topp-0.7_R,0.043
bertscore-sentence-cos-roberta-topp-0.7_F,0.029
rouge_rouge1,0.093
rouge_rouge2,0.078
rouge_rougeL,0.048
rouge_rougeLsum,0.048
rouge-topk-5_rouge1,0.002
rouge-topk-5_rouge2,0.008
rouge-topk-5_rougeL,0.006
rouge-topk-5_rougeLsum,0.006
rouge-topk-10_rouge1,0.095
rouge-topk-10_rouge2,0.075
rouge-topk-10_rougeL,0.035
rouge-topk-10_rougeLsum,0.035
rouge-topk-20_rouge1,0.09
rouge-topk-20_rouge2,0.073
rouge-topk-20_rougeL,0.048
rouge-topk-20_rougeLsum,0.048
rouge-topp-0.2_rouge1,0.046
rouge-topp-0.2_rouge2,0.033
rouge-topp-0.2_rougeL,0.023
rouge-topp-0.2_rougeLsum,0.023
rouge-topp-0.5_rouge1,0.082
rouge-topp-0.5_rouge2,0.059
rouge-topp-0.5_rougeL,0.055
rouge-topp-0.5_rougeLsum,0.055
rouge-topp-0.7_rouge1,0.092
rouge-topp-0.7_rouge2,0.074
rouge-topp-0.7_rougeL,0.052
rouge-topp-0.7_rougeLsum,0.052
bleurt_scores,0.067
bleurt-topk-5_scores,-0.008
bleurt-topk-10_scores,0.07
bleurt-topk-20_scores,0.069
bleurt-topp-0.2_scores,0.041
bleurt-topp-0.5_scores,0.079
bleurt-topp-0.7_scores,0.063
bertscore-anyref-pegasus-large_precision,0.028
bertscore-anyref-pegasus-large_recall,0.073
bertscore-anyref-pegasus-large_f1,0.062
rouge-anyref-pegasus-large_rouge1,0.101
rouge-anyref-pegasus-large_rouge2,0.089
rouge-anyref-pegasus-large_rougeL,0.065
rouge-anyref-pegasus-large_rougeLsum,0.065
bleurt-anyref-pegasus-large_scores,0.063
bertscore-sentence-mnli-roberta-not_neutral_P,0.046
bertscore-sentence-mnli-roberta-not_neutral_R,0.008
bertscore-sentence-mnli-roberta-not_neutral_F,0.013
bertscore-sentence-mnli-roberta-entail_only_P,0.03
bertscore-sentence-mnli-roberta-entail_only_R,-0.004
bertscore-sentence-mnli-roberta-entail_only_F,0.004
bertscore-sentence-mnli-roberta-entail_contradict_P,0.028
bertscore-sentence-mnli-roberta-entail_contradict_R,0.01
bertscore-sentence-mnli-roberta-entail_contradict_F,0.009
bertscore-sentence-mnli-bart-not_neutral_P,-0.01
bertscore-sentence-mnli-bart-not_neutral_R,0.009
bertscore-sentence-mnli-bart-not_neutral_F,0.007
bertscore-sentence-mnli-bart-entail_only_P,0.057
bertscore-sentence-mnli-bart-entail_only_R,0.02
bertscore-sentence-mnli-bart-entail_only_F,0.02
bertscore-sentence-mnli-bart-entail_contradict_P,0.079
