,litepyramid_recall
bertscore_precision,-0.068
bertscore_recall,0.247
bertscore_f1,0.08
bertscore-topk-5_precision,-0.113
bertscore-topk-5_recall,0.112
bertscore-topk-5_f1,-0.014
bertscore-topk-10_precision,-0.083
bertscore-topk-10_recall,0.203
bertscore-topk-10_f1,0.04
bertscore-topk-20_precision,-0.069
bertscore-topk-20_recall,0.243
bertscore-topk-20_f1,0.073
bertscore-topp-0.2_precision,-0.107
bertscore-topp-0.2_recall,0.138
bertscore-topp-0.2_f1,-0.005
bertscore-topp-0.5_precision,-0.074
bertscore-topp-0.5_recall,0.206
bertscore-topp-0.5_f1,0.047
bertscore-topp-0.7_precision,-0.072
bertscore-topp-0.7_recall,0.233
bertscore-topp-0.7_f1,0.071
bertscore-sentence-cos-mpnet_P,-0.081
bertscore-sentence-cos-mpnet_R,0.236
bertscore-sentence-cos-mpnet_F,0.112
bertscore-sentence-cos-mpnet-topk-5_P,-0.104
bertscore-sentence-cos-mpnet-topk-5_R,0.132
bertscore-sentence-cos-mpnet-topk-5_F,-0.014
bertscore-sentence-cos-mpnet-topk-10_P,-0.098
bertscore-sentence-cos-mpnet-topk-10_R,0.189
bertscore-sentence-cos-mpnet-topk-10_F,0.033
bertscore-sentence-cos-mpnet-topk-20_P,-0.087
bertscore-sentence-cos-mpnet-topk-20_R,0.225
bertscore-sentence-cos-mpnet-topk-20_F,0.091
bertscore-sentence-cos-mpnet-topp-0.2_P,-0.109
bertscore-sentence-cos-mpnet-topp-0.2_R,0.161
bertscore-sentence-cos-mpnet-topp-0.2_F,0.007
bertscore-sentence-cos-mpnet-topp-0.5_P,-0.093
bertscore-sentence-cos-mpnet-topp-0.5_R,0.199
bertscore-sentence-cos-mpnet-topp-0.5_F,0.053
bertscore-sentence-cos-mpnet-topp-0.7_P,-0.089
bertscore-sentence-cos-mpnet-topp-0.7_R,0.201
bertscore-sentence-cos-mpnet-topp-0.7_F,0.085
