,litepyramid_recall
bertscore_precision,0.171
bertscore_recall,0.135
bertscore_f1,0.17
bertscore-topk-5_precision,0.243
bertscore-topk-5_recall,0.174
bertscore-topk-5_f1,0.228
bertscore-topk-10_precision,0.178
bertscore-topk-10_recall,0.039
bertscore-topk-10_f1,0.107
bertscore-topk-20_precision,0.115
bertscore-topk-20_recall,0.056
bertscore-topk-20_f1,0.092
bertscore-topp-0.2_precision,0.27
bertscore-topp-0.2_recall,0.275
bertscore-topp-0.2_f1,0.336
bertscore-topp-0.5_precision,0.234
bertscore-topp-0.5_recall,0.215
bertscore-topp-0.5_f1,0.246
bertscore-topp-0.7_precision,0.204
bertscore-topp-0.7_recall,0.156
bertscore-topp-0.7_f1,0.191
bertscore-sentence-cos-mpnet_P,0.022
bertscore-sentence-cos-mpnet_R,0.115
bertscore-sentence-cos-mpnet_F,0.13
bertscore-sentence-cos-mpnet-topk-5_P,0.227
bertscore-sentence-cos-mpnet-topk-5_R,0.046
bertscore-sentence-cos-mpnet-topk-5_F,0.14
bertscore-sentence-cos-mpnet-topk-10_P,0.096
bertscore-sentence-cos-mpnet-topk-10_R,-0.097
bertscore-sentence-cos-mpnet-topk-10_F,-0.041
bertscore-sentence-cos-mpnet-topk-20_P,0.07
bertscore-sentence-cos-mpnet-topk-20_R,0.029
bertscore-sentence-cos-mpnet-topk-20_F,0.065
bertscore-sentence-cos-mpnet-topp-0.2_P,0.049
bertscore-sentence-cos-mpnet-topp-0.2_R,0.196
bertscore-sentence-cos-mpnet-topp-0.2_F,0.211
bertscore-sentence-cos-mpnet-topp-0.5_P,-0.025
bertscore-sentence-cos-mpnet-topp-0.5_R,0.123
bertscore-sentence-cos-mpnet-topp-0.5_F,0.146
bertscore-sentence-cos-mpnet-topp-0.7_P,0.029
bertscore-sentence-cos-mpnet-topp-0.7_R,0.139
bertscore-sentence-cos-mpnet-topp-0.7_F,0.163
bertscore-sentence-cos-roberta_P,0.006
bertscore-sentence-cos-roberta_R,0.119
bertscore-sentence-cos-roberta_F,0.128
bertscore-sentence-cos-roberta-topk-5_P,0.197
bertscore-sentence-cos-roberta-topk-5_R,0.022
bertscore-sentence-cos-roberta-topk-5_F,0.11
bertscore-sentence-cos-roberta-topk-10_P,0.083
bertscore-sentence-cos-roberta-topk-10_R,-0.074
bertscore-sentence-cos-roberta-topk-10_F,-0.032
bertscore-sentence-cos-roberta-topk-20_P,0.054
bertscore-sentence-cos-roberta-topk-20_R,0.033
bertscore-sentence-cos-roberta-topk-20_F,0.06
bertscore-sentence-cos-roberta-topp-0.2_P,0.042
bertscore-sentence-cos-roberta-topp-0.2_R,0.184
bertscore-sentence-cos-roberta-topp-0.2_F,0.199
bertscore-sentence-cos-roberta-topp-0.5_P,-0.046
bertscore-sentence-cos-roberta-topp-0.5_R,0.135
bertscore-sentence-cos-roberta-topp-0.5_F,0.152
bertscore-sentence-cos-roberta-topp-0.7_P,0.008
bertscore-sentence-cos-roberta-topp-0.7_R,0.149
bertscore-sentence-cos-roberta-topp-0.7_F,0.167
rouge_rouge1,0.239
rouge_rouge2,0.243
rouge_rougeL,0.233
rouge_rougeLsum,0.233
rouge-topk-5_rouge1,0.186
rouge-topk-5_rouge2,0.2
rouge-topk-5_rougeL,0.162
rouge-topk-5_rougeLsum,0.162
rouge-topk-10_rouge1,0.02
rouge-topk-10_rouge2,0.057
rouge-topk-10_rougeL,0.007
rouge-topk-10_rougeLsum,0.007
rouge-topk-20_rouge1,0.015
rouge-topk-20_rouge2,0.047
rouge-topk-20_rougeL,0.016
rouge-topk-20_rougeLsum,0.016
rouge-topp-0.2_rouge1,0.293
rouge-topp-0.2_rouge2,0.32
rouge-topp-0.2_rougeL,0.272
rouge-topp-0.2_rougeLsum,0.272
rouge-topp-0.5_rouge1,0.237
rouge-topp-0.5_rouge2,0.239
rouge-topp-0.5_rougeL,0.233
rouge-topp-0.5_rougeLsum,0.233
rouge-topp-0.7_rouge1,0.233
rouge-topp-0.7_rouge2,0.24
rouge-topp-0.7_rougeL,0.228
rouge-topp-0.7_rougeLsum,0.228
bleurt_scores,0.073
bleurt-topk-5_scores,0.229
bleurt-topk-10_scores,0.159
bleurt-topk-20_scores,0.074
bleurt-topp-0.2_scores,0.382
bleurt-topp-0.5_scores,0.114
bleurt-topp-0.7_scores,0.104
bertscore-sentence-mnli-roberta-not_neutral_P,-0.243
bertscore-sentence-mnli-roberta-not_neutral_R,-0.049
bertscore-sentence-mnli-roberta-not_neutral_F,-0.068
bertscore-sentence-mnli-roberta-entail_only_P,-0.144
bertscore-sentence-mnli-roberta-entail_only_R,-0.073
bertscore-sentence-mnli-roberta-entail_only_F,-0.085
bertscore-sentence-mnli-roberta-entail_contradict_P,-0.125
bertscore-sentence-mnli-roberta-entail_contradict_R,-0.027
bertscore-sentence-mnli-roberta-entail_contradict_F,-0.23
