approach,dataset,eval_metric,corr_metric,pair,value
trad,newsroom,rouge1,pearsonr,"(Coherence, scores)",0.08137389912860474
trad,newsroom,rouge1,pearsonr,"(Informativeness, scores)",0.1246247433589684
trad,newsroom,rouge1,pearsonr,"(Fluency, scores)",0.05879014417530291
trad,newsroom,rouge1,pearsonr,"(Relevance, scores)",0.14854632449137972
trad,newsroom,rouge1,kendalltau,"(Coherence, scores)",0.07564705664561523
trad,newsroom,rouge1,kendalltau,"(Informativeness, scores)",0.1079115370346669
trad,newsroom,rouge1,kendalltau,"(Fluency, scores)",0.05859000376507292
trad,newsroom,rouge1,kendalltau,"(Relevance, scores)",0.11928495732936
trad,newsroom,rouge1,spearmanr,"(Coherence, scores)",0.102279252342022
trad,newsroom,rouge1,spearmanr,"(Informativeness, scores)",0.14505252583914943
trad,newsroom,rouge1,spearmanr,"(Fluency, scores)",0.07939192888688233
trad,newsroom,rouge1,spearmanr,"(Relevance, scores)",0.15767208328648247
trad,newsroom,rouge2,pearsonr,"(Coherence, scores)",0.0378574605359331
trad,newsroom,rouge2,pearsonr,"(Informativeness, scores)",0.09180874230869437
trad,newsroom,rouge2,pearsonr,"(Fluency, scores)",0.027622653802722587
trad,newsroom,rouge2,pearsonr,"(Relevance, scores)",0.108489605736017
trad,newsroom,rouge2,kendalltau,"(Coherence, scores)",0.07766164432733856
trad,newsroom,rouge2,kendalltau,"(Informativeness, scores)",0.16181838257299938
trad,newsroom,rouge2,kendalltau,"(Fluency, scores)",0.06655502919074092
trad,newsroom,rouge2,kendalltau,"(Relevance, scores)",0.1492431526062508
trad,newsroom,rouge2,spearmanr,"(Coherence, scores)",0.09480048033116642
trad,newsroom,rouge2,spearmanr,"(Informativeness, scores)",0.19671670452218826
trad,newsroom,rouge2,spearmanr,"(Fluency, scores)",0.08187202021020341
trad,newsroom,rouge2,spearmanr,"(Relevance, scores)",0.17954102814038866
trad,newsroom,rougeL,pearsonr,"(Coherence, scores)",0.05128061235817472
trad,newsroom,rougeL,pearsonr,"(Informativeness, scores)",0.09810315477082669
trad,newsroom,rougeL,pearsonr,"(Fluency, scores)",0.030839190011959942
trad,newsroom,rougeL,pearsonr,"(Relevance, scores)",0.1247112639108498
trad,newsroom,rougeL,kendalltau,"(Coherence, scores)",0.055969435629232935
trad,newsroom,rougeL,kendalltau,"(Informativeness, scores)",0.08720914720645004
trad,newsroom,rougeL,kendalltau,"(Fluency, scores)",0.03977768128279695
trad,newsroom,rougeL,kendalltau,"(Relevance, scores)",0.10288397823974575
trad,newsroom,rougeL,spearmanr,"(Coherence, scores)",0.07506431808763483
trad,newsroom,rougeL,spearmanr,"(Informativeness, scores)",0.11731506648094661
trad,newsroom,rougeL,spearmanr,"(Fluency, scores)",0.054060302025271116
trad,newsroom,rougeL,spearmanr,"(Relevance, scores)",0.13619887083743
trad,newsroom,rougeLsum,pearsonr,"(Coherence, scores)",0.05128061235817472
trad,newsroom,rougeLsum,pearsonr,"(Informativeness, scores)",0.09810315477082669
trad,newsroom,rougeLsum,pearsonr,"(Fluency, scores)",0.030839190011959942
trad,newsroom,rougeLsum,pearsonr,"(Relevance, scores)",0.1247112639108498
trad,newsroom,rougeLsum,kendalltau,"(Coherence, scores)",0.055969435629232935
trad,newsroom,rougeLsum,kendalltau,"(Informativeness, scores)",0.08720914720645004
trad,newsroom,rougeLsum,kendalltau,"(Fluency, scores)",0.03977768128279695
trad,newsroom,rougeLsum,kendalltau,"(Relevance, scores)",0.10288397823974575
trad,newsroom,rougeLsum,spearmanr,"(Coherence, scores)",0.07506431808763483
