,litepyramid_recall
bertscore_precision,-0.107
bertscore_recall,0.325
bertscore_f1,0.097
bertscore-topk-5_precision,-0.158
bertscore-topk-5_recall,0.157
bertscore-topk-5_f1,-0.02
bertscore-topk-10_precision,-0.129
bertscore-topk-10_recall,0.266
bertscore-topk-10_f1,0.049
bertscore-topk-20_precision,-0.109
bertscore-topk-20_recall,0.321
bertscore-topk-20_f1,0.09
bertscore-topp-0.2_precision,-0.164
bertscore-topp-0.2_recall,0.187
bertscore-topp-0.2_f1,-0.009
bertscore-topp-0.5_precision,-0.128
bertscore-topp-0.5_recall,0.279
bertscore-topp-0.5_f1,0.057
bertscore-topp-0.7_precision,-0.116
bertscore-topp-0.7_recall,0.307
bertscore-topp-0.7_f1,0.084
bertscore-sentence-cos-mpnet_P,-0.087
bertscore-sentence-cos-mpnet_R,0.305
bertscore-sentence-cos-mpnet_F,0.159
bertscore-sentence-cos-mpnet-topk-5_P,-0.124
bertscore-sentence-cos-mpnet-topk-5_R,0.172
bertscore-sentence-cos-mpnet-topk-5_F,-0.008
bertscore-sentence-cos-mpnet-topk-10_P,-0.123
bertscore-sentence-cos-mpnet-topk-10_R,0.247
bertscore-sentence-cos-mpnet-topk-10_F,0.057
bertscore-sentence-cos-mpnet-topk-20_P,-0.099
bertscore-sentence-cos-mpnet-topk-20_R,0.288
bertscore-sentence-cos-mpnet-topk-20_F,0.123
bertscore-sentence-cos-mpnet-topp-0.2_P,-0.132
bertscore-sentence-cos-mpnet-topp-0.2_R,0.207
bertscore-sentence-cos-mpnet-topp-0.2_F,0.02
bertscore-sentence-cos-mpnet-topp-0.5_P,-0.116
bertscore-sentence-cos-mpnet-topp-0.5_R,0.255
bertscore-sentence-cos-mpnet-topp-0.5_F,0.086
bertscore-sentence-cos-mpnet-topp-0.7_P,-0.101
bertscore-sentence-cos-mpnet-topp-0.7_R,0.27
bertscore-sentence-cos-mpnet-topp-0.7_F,0.119
bertscore-sentence-cos-roberta_P,-0.063
bertscore-sentence-cos-roberta_R,0.275
bertscore-sentence-cos-roberta_F,0.164
bertscore-sentence-cos-roberta-topk-5_P,-0.124
bertscore-sentence-cos-roberta-topk-5_R,0.159
bertscore-sentence-cos-roberta-topk-5_F,-0.004
bertscore-sentence-cos-roberta-topk-10_P,-0.113
bertscore-sentence-cos-roberta-topk-10_R,0.223
bertscore-sentence-cos-roberta-topk-10_F,0.071
bertscore-sentence-cos-roberta-topk-20_P,-0.08
bertscore-sentence-cos-roberta-topk-20_R,0.257
bertscore-sentence-cos-roberta-topk-20_F,0.13
bertscore-sentence-cos-roberta-topp-0.2_P,-0.13
bertscore-sentence-cos-roberta-topp-0.2_R,0.192
bertscore-sentence-cos-roberta-topp-0.2_F,0.022
bertscore-sentence-cos-roberta-topp-0.5_P,-0.104
bertscore-sentence-cos-roberta-topp-0.5_R,0.227
bertscore-sentence-cos-roberta-topp-0.5_F,0.094
bertscore-sentence-cos-roberta-topp-0.7_P,-0.08
bertscore-sentence-cos-roberta-topp-0.7_R,0.244
bertscore-sentence-cos-roberta-topp-0.7_F,0.124
rouge_rouge1,0.351
rouge_rouge2,0.264
rouge_rougeL,0.265
rouge_rougeLsum,0.265
rouge-topk-5_rouge1,0.162
rouge-topk-5_rouge2,0.038
rouge-topk-5_rougeL,0.026
rouge-topk-5_rougeLsum,0.026
rouge-topk-10_rouge1,0.283
rouge-topk-10_rouge2,0.148
rouge-topk-10_rougeL,0.157
rouge-topk-10_rougeLsum,0.157
rouge-topk-20_rouge1,0.34
rouge-topk-20_rouge2,0.234
rouge-topk-20_rougeL,0.237
rouge-topk-20_rougeLsum,0.237
rouge-topp-0.2_rouge1,0.181
rouge-topp-0.2_rouge2,0.057
rouge-topp-0.2_rougeL,0.051
rouge-topp-0.2_rougeLsum,0.051
rouge-topp-0.5_rouge1,0.301
rouge-topp-0.5_rouge2,0.183
rouge-topp-0.5_rougeL,0.191
rouge-topp-0.5_rougeLsum,0.191
rouge-topp-0.7_rouge1,0.333
rouge-topp-0.7_rouge2,0.231
rouge-topp-0.7_rougeL,0.237
rouge-topp-0.7_rougeLsum,0.237
bleurt_scores,0.176
bleurt-topk-5_scores,0.07
bleurt-topk-10_scores,0.162
bleurt-topk-20_scores,0.175
bleurt-topp-0.2_scores,0.094
bleurt-topp-0.5_scores,0.172
bleurt-topp-0.7_scores,0.163
bertscore-sentence-mnli-roberta-not_neutral_P,-0.019
bertscore-sentence-mnli-roberta-not_neutral_R,0.144
bertscore-sentence-mnli-roberta-not_neutral_F,0.134
bertscore-sentence-mnli-roberta-entail_only_P,0.028
bertscore-sentence-mnli-roberta-entail_only_R,0.169
bertscore-sentence-mnli-roberta-entail_only_F,0.159
