,consistency,relevance,coherence,fluency
bertscore_precision,0.246,0.414,0.344,0.166
bertscore_recall,0.055,0.227,0.182,0.178
bertscore_f1,0.161,0.331,0.289,0.205
bertscore-topk-5_precision,0.207,0.397,0.362,0.087
bertscore-topk-5_recall,0.146,0.351,0.31,0.064
bertscore-topk-5_f1,0.169,0.395,0.341,0.089
bertscore-topk-10_precision,0.256,0.422,0.368,0.135
bertscore-topk-10_recall,0.075,0.284,0.248,0.173
bertscore-topk-10_f1,0.169,0.373,0.324,0.179
bertscore-topk-20_precision,0.246,0.415,0.346,0.166
bertscore-topk-20_recall,0.053,0.23,0.182,0.183
bertscore-topk-20_f1,0.155,0.335,0.29,0.202
bertscore-topp-0.2_precision,0.17,0.322,0.296,0.089
bertscore-topp-0.2_recall,0.216,0.337,0.283,0.128
bertscore-topp-0.2_f1,0.236,0.403,0.333,0.107
bertscore-topp-0.5_precision,0.249,0.407,0.343,0.124
bertscore-topp-0.5_recall,0.141,0.249,0.219,0.195
bertscore-topp-0.5_f1,0.189,0.37,0.306,0.191
bertscore-topp-0.7_precision,0.238,0.421,0.347,0.16
bertscore-topp-0.7_recall,0.06,0.19,0.151,0.201
bertscore-topp-0.7_f1,0.148,0.325,0.277,0.222
bertscore-sentence-cos-mpnet_P,0.258,0.236,0.235,0.156
bertscore-sentence-cos-mpnet_R,0.062,0.117,0.11,0.055
bertscore-sentence-cos-mpnet_F,0.118,0.147,0.157,0.094
bertscore-sentence-cos-mpnet-topk-5_P,0.194,0.285,0.29,0.133
bertscore-sentence-cos-mpnet-topk-5_R,0.097,0.324,0.31,0.099
bertscore-sentence-cos-mpnet-topk-5_F,0.146,0.337,0.33,0.118
bertscore-sentence-cos-mpnet-topk-10_P,0.266,0.264,0.251,0.151
bertscore-sentence-cos-mpnet-topk-10_R,0.088,0.164,0.146,0.049
bertscore-sentence-cos-mpnet-topk-10_F,0.162,0.216,0.203,0.1
bertscore-sentence-cos-mpnet-topk-20_P,0.254,0.235,0.237,0.151
bertscore-sentence-cos-mpnet-topk-20_R,0.055,0.124,0.119,0.059
bertscore-sentence-cos-mpnet-topk-20_F,0.106,0.155,0.161,0.09
bertscore-sentence-cos-mpnet-topp-0.2_P,0.134,0.245,0.276,0.061
bertscore-sentence-cos-mpnet-topp-0.2_R,0.147,0.279,0.262,0.095
bertscore-sentence-cos-mpnet-topp-0.2_F,0.166,0.301,0.285,0.054
bertscore-sentence-cos-mpnet-topp-0.5_P,0.229,0.284,0.262,0.095
bertscore-sentence-cos-mpnet-topp-0.5_R,0.071,0.166,0.161,0.092
bertscore-sentence-cos-mpnet-topp-0.5_F,0.145,0.254,0.249,0.12
bertscore-sentence-cos-mpnet-topp-0.7_P,0.233,0.257,0.259,0.128
bertscore-sentence-cos-mpnet-topp-0.7_R,0.094,0.147,0.166,0.06
bertscore-sentence-cos-mpnet-topp-0.7_F,0.141,0.197,0.219,0.098
bertscore-sentence-cos-roberta_P,0.286,0.272,0.277,0.199
bertscore-sentence-cos-roberta_R,0.099,0.153,0.138,0.097
bertscore-sentence-cos-roberta_F,0.153,0.199,0.194,0.127
bertscore-sentence-cos-roberta-topk-5_P,0.217,0.321,0.322,0.126
bertscore-sentence-cos-roberta-topk-5_R,0.124,0.37,0.328,0.119
bertscore-sentence-cos-roberta-topk-5_F,0.178,0.376,0.352,0.129
bertscore-sentence-cos-roberta-topk-10_P,0.289,0.312,0.297,0.17
bertscore-sentence-cos-roberta-topk-10_R,0.104,0.211,0.17,0.091
bertscore-sentence-cos-roberta-topk-10_F,0.188,0.265,0.231,0.132
bertscore-sentence-cos-roberta-topk-20_P,0.283,0.272,0.279,0.194
bertscore-sentence-cos-roberta-topk-20_R,0.084,0.164,0.141,0.1
bertscore-sentence-cos-roberta-topk-20_F,0.144,0.209,0.196,0.129
bertscore-sentence-cos-roberta-topp-0.2_P,0.157,0.281,0.311,0.079
bertscore-sentence-cos-roberta-topp-0.2_R,0.196,0.336,0.317,0.119
bertscore-sentence-cos-roberta-topp-0.2_F,0.204,0.363,0.364,0.095
bertscore-sentence-cos-roberta-topp-0.5_P,0.255,0.328,0.308,0.129
bertscore-sentence-cos-roberta-topp-0.5_R,0.105,0.214,0.193,0.122
bertscore-sentence-cos-roberta-topp-0.5_F,0.192,0.314,0.282,0.14
bertscore-sentence-cos-roberta-topp-0.7_P,0.266,0.285,0.285,0.167
bertscore-sentence-cos-roberta-topp-0.7_R,0.12,0.175,0.181,0.104
bertscore-sentence-cos-roberta-topp-0.7_F,0.184,0.248,0.248,0.133
rouge_rouge1,0.078,0.162,0.121,0.133
rouge_rouge2,0.123,0.189,0.157,0.143
rouge_rougeL,0.11,0.201,0.166,0.142
rouge_rougeLsum,0.11,0.201,0.166,0.142
rouge-topk-5_rouge1,0.12,0.315,0.287,0.036
rouge-topk-5_rouge2,0.153,0.355,0.331,0.057
rouge-topk-5_rougeL,0.144,0.35,0.321,0.036
rouge-topk-5_rougeLsum,0.144,0.35,0.321,0.036
rouge-topk-10_rouge1,0.082,0.264,0.234,0.159
rouge-topk-10_rouge2,0.135,0.304,0.27,0.158
rouge-topk-10_rougeL,0.124,0.293,0.27,0.147
rouge-topk-10_rougeLsum,0.124,0.293,0.27,0.147
rouge-topk-20_rouge1,0.058,0.177,0.135,0.139
rouge-topk-20_rouge2,0.106,0.194,0.166,0.139
rouge-topk-20_rougeL,0.096,0.208,0.176,0.141
rouge-topk-20_rougeLsum,0.096,0.208,0.176,0.141
rouge-topp-0.2_rouge1,0.2,0.302,0.258,0.078
rouge-topp-0.2_rouge2,0.205,0.337,0.294,0.075
rouge-topp-0.2_rougeL,0.187,0.312,0.266,0.098
rouge-topp-0.2_rougeLsum,0.187,0.312,0.266,0.098
rouge-topp-0.5_rouge1,0.137,0.235,0.205,0.152
rouge-topp-0.5_rouge2,0.17,0.292,0.253,0.161
rouge-topp-0.5_rougeL,0.163,0.266,0.241,0.149
rouge-topp-0.5_rougeLsum,0.163,0.266,0.241,0.149
rouge-topp-0.7_rouge1,0.08,0.182,0.143,0.176
