,Pyramid,Linguistic,Overall
bertscore-bert-base_precision,0.318,0.218,0.296
bertscore-bert-base_recall,0.297,0.213,0.277
bertscore-bert-base_f1,0.328,0.225,0.305
bertscore-roberta-base_precision,0.329,0.228,0.298
bertscore-roberta-base_recall,0.26,0.193,0.25
bertscore-roberta-base_f1,0.325,0.232,0.301
bertscore-bart-base_precision,0.319,0.216,0.294
bertscore-bart-base_recall,0.254,0.152,0.232
bertscore-bart-base_f1,0.308,0.196,0.283
bertscore-deberta-base_precision,0.315,0.216,0.289
bertscore-deberta-base_recall,0.295,0.215,0.277
bertscore-deberta-base_f1,0.332,0.233,0.307
bertscore-deberta-base-mnli_precision,0.326,0.256,0.298
bertscore-deberta-base-mnli_recall,0.312,0.243,0.29
bertscore-deberta-base-mnli_f1,0.339,0.264,0.312
