,litepyramid_recall
bertscore_precision,0.036
bertscore_recall,0.086
bertscore_f1,0.058
bertscore-topk-5_precision,-0.039
bertscore-topk-5_recall,0.034
bertscore-topk-5_f1,-0.012
bertscore-topk-10_precision,0.033
bertscore-topk-10_recall,0.097
bertscore-topk-10_f1,0.048
bertscore-topk-20_precision,0.038
bertscore-topk-20_recall,0.082
bertscore-topk-20_f1,0.048
bertscore-topp-0.2_precision,-0.001
bertscore-topp-0.2_recall,0.037
bertscore-topp-0.2_f1,0.015
bertscore-topp-0.5_precision,0.029
bertscore-topp-0.5_recall,0.087
bertscore-topp-0.5_f1,0.052
bertscore-topp-0.7_precision,0.043
bertscore-topp-0.7_recall,0.085
bertscore-topp-0.7_f1,0.056
bertscore-sentence-cos-mpnet_P,-0.009
bertscore-sentence-cos-mpnet_R,0.07
bertscore-sentence-cos-mpnet_F,0.074
bertscore-sentence-cos-mpnet-topk-5_P,-0.024
bertscore-sentence-cos-mpnet-topk-5_R,-0.003
bertscore-sentence-cos-mpnet-topk-5_F,-0.004
bertscore-sentence-cos-mpnet-topk-10_P,0.019
bertscore-sentence-cos-mpnet-topk-10_R,0.113
bertscore-sentence-cos-mpnet-topk-10_F,0.093
bertscore-sentence-cos-mpnet-topk-20_P,-0.006
bertscore-sentence-cos-mpnet-topk-20_R,0.086
bertscore-sentence-cos-mpnet-topk-20_F,0.073
bertscore-sentence-cos-mpnet-topp-0.2_P,0.016
bertscore-sentence-cos-mpnet-topp-0.2_R,0.076
bertscore-sentence-cos-mpnet-topp-0.2_F,0.051
bertscore-sentence-cos-mpnet-topp-0.5_P,0.03
bertscore-sentence-cos-mpnet-topp-0.5_R,0.097
bertscore-sentence-cos-mpnet-topp-0.5_F,0.078
bertscore-sentence-cos-mpnet-topp-0.7_P,0.007
bertscore-sentence-cos-mpnet-topp-0.7_R,0.078
bertscore-sentence-cos-mpnet-topp-0.7_F,0.07
bertscore-sentence-cos-roberta_P,-0.018
bertscore-sentence-cos-roberta_R,0.048
bertscore-sentence-cos-roberta_F,0.023
bertscore-sentence-cos-roberta-topk-5_P,-0.032
bertscore-sentence-cos-roberta-topk-5_R,-0.005
bertscore-sentence-cos-roberta-topk-5_F,-0.013
bertscore-sentence-cos-roberta-topk-10_P,-0.002
bertscore-sentence-cos-roberta-topk-10_R,0.091
bertscore-sentence-cos-roberta-topk-10_F,0.069
bertscore-sentence-cos-roberta-topk-20_P,-0.016
bertscore-sentence-cos-roberta-topk-20_R,0.049
bertscore-sentence-cos-roberta-topk-20_F,0.027
bertscore-sentence-cos-roberta-topp-0.2_P,0.002
bertscore-sentence-cos-roberta-topp-0.2_R,0.058
bertscore-sentence-cos-roberta-topp-0.2_F,0.039
bertscore-sentence-cos-roberta-topp-0.5_P,0.02
bertscore-sentence-cos-roberta-topp-0.5_R,0.068
bertscore-sentence-cos-roberta-topp-0.5_F,0.048
bertscore-sentence-cos-roberta-topp-0.7_P,-0.004
bertscore-sentence-cos-roberta-topp-0.7_R,0.056
bertscore-sentence-cos-roberta-topp-0.7_F,0.035
rouge_rouge1,0.11
rouge_rouge2,0.096
rouge_rougeL,0.06
rouge_rougeLsum,0.06
rouge-topk-5_rouge1,0.004
rouge-topk-5_rouge2,0.013
rouge-topk-5_rougeL,0.011
rouge-topk-5_rougeLsum,0.011
rouge-topk-10_rouge1,0.113
rouge-topk-10_rouge2,0.092
rouge-topk-10_rougeL,0.046
rouge-topk-10_rougeLsum,0.046
rouge-topk-20_rouge1,0.106
rouge-topk-20_rouge2,0.092
rouge-topk-20_rougeL,0.061
rouge-topk-20_rougeLsum,0.061
rouge-topp-0.2_rouge1,0.053
rouge-topp-0.2_rouge2,0.043
rouge-topp-0.2_rougeL,0.032
rouge-topp-0.2_rougeLsum,0.032
rouge-topp-0.5_rouge1,0.098
rouge-topp-0.5_rouge2,0.075
rouge-topp-0.5_rougeL,0.067
rouge-topp-0.5_rougeLsum,0.067
rouge-topp-0.7_rouge1,0.11
rouge-topp-0.7_rouge2,0.091
rouge-topp-0.7_rougeL,0.066
rouge-topp-0.7_rougeLsum,0.066
bleurt_scores,0.078
bleurt-topk-5_scores,-0.014
bleurt-topk-10_scores,0.086
bleurt-topk-20_scores,0.083
bleurt-topp-0.2_scores,0.05
bleurt-topp-0.5_scores,0.097
bleurt-topp-0.7_scores,0.075
bertscore-sentence-mnli-roberta-not_neutral_P,0.063
bertscore-sentence-mnli-roberta-not_neutral_R,0.011
bertscore-sentence-mnli-roberta-not_neutral_F,0.015
bertscore-sentence-mnli-roberta-entail_only_P,0.041
bertscore-sentence-mnli-roberta-entail_only_R,-0.007
bertscore-sentence-mnli-roberta-entail_only_F,0.003
bertscore-sentence-mnli-roberta-entail_contradict_P,0.037
bertscore-sentence-mnli-roberta-entail_contradict_R,0.011
bertscore-sentence-mnli-roberta-entail_contradict_F,0.01
bertscore-sentence-mnli-bart-not_neutral_P,-0.003
bertscore-sentence-mnli-bart-not_neutral_R,0.01
bertscore-sentence-mnli-bart-not_neutral_F,0.007
bertscore-sentence-mnli-bart-entail_only_P,0.069
bertscore-sentence-mnli-bart-entail_only_R,0.026
bertscore-sentence-mnli-bart-entail_only_F,0.023
bertscore-sentence-mnli-bart-entail_contradict_P,0.095
bertscore-sentence-mnli-bart-entail_contradict_R,0.054
bertscore-sentence-mnli-bart-entail_contradict_F,0.058
bertscore-sentence-mnli-deberta-not_neutral_P,0.048
bertscore-sentence-mnli-deberta-not_neutral_R,0.014
bertscore-sentence-mnli-deberta-not_neutral_F,0.019
bertscore-sentence-mnli-deberta-entail_only_P,0.043
bertscore-sentence-mnli-deberta-entail_only_R,0.007
bertscore-sentence-mnli-deberta-entail_only_F,0.014
bertscore-sentence-mnli-deberta-entail_contradict_P,0.041
bertscore-sentence-mnli-deberta-entail_contradict_R,0.045
bertscore-sentence-mnli-deberta-entail_contradict_F,0.046
bertscore-anyref-bart-default_precision,0.046
bertscore-anyref-bart-default_recall,0.14
bertscore-anyref-bart-default_f1,0.105
bertscore-anyref-bart-min-0.2-0.5_precision,0.058
bertscore-anyref-bart-min-0.2-0.5_recall,0.144
bertscore-anyref-bart-min-0.2-0.5_f1,0.115
bertscore-anyref-bart-min-0.5-0.7_precision,0.058
bertscore-anyref-bart-min-0.5-0.7_recall,0.144
bertscore-anyref-bart-min-0.5-0.7_f1,0.115
bertscore-anyref-bart-mean-0.2-0.5_precision,0.058
bertscore-anyref-bart-mean-0.2-0.5_recall,0.144
bertscore-anyref-bart-mean-0.2-0.5_f1,0.115
bertscore-anyref-bart-mean-0.5-0.7_precision,0.058
bertscore-anyref-bart-mean-0.5-0.7_recall,0.144
bertscore-anyref-bart-mean-0.5-0.7_f1,0.115
bertscore-anyref-bart-constant-16-32_precision,0.058
bertscore-anyref-bart-constant-16-32_recall,0.144
bertscore-anyref-bart-constant-16-32_f1,0.115
bertscore-anyref-bart-constant-32-64_precision,0.058
bertscore-anyref-bart-constant-32-64_recall,0.144
bertscore-anyref-bart-constant-32-64_f1,0.115
bertscore-anyref-pegasus-xsum-default_precision,-0.016
bertscore-anyref-pegasus-xsum-default_recall,0.005
bertscore-anyref-pegasus-xsum-default_f1,-0.01
bertscore-anyref-pegasus-xsum-min-0.2-0.5_precision,-0.016
bertscore-anyref-pegasus-xsum-min-0.2-0.5_recall,0.005
bertscore-anyref-pegasus-xsum-min-0.2-0.5_f1,-0.01
bertscore-anyref-pegasus-xsum-min-0.5-0.7_precision,-0.016
bertscore-anyref-pegasus-xsum-min-0.5-0.7_recall,0.005
bertscore-anyref-pegasus-xsum-min-0.5-0.7_f1,-0.01
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_precision,-0.016
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_recall,0.005
bertscore-anyref-pegasus-xsum-mean-0.2-0.5_f1,-0.01
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_precision,-0.016
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_recall,0.005
bertscore-anyref-pegasus-xsum-mean-0.5-0.7_f1,-0.01
bertscore-anyref-pegasus-xsum-constant-16-32_precision,-0.018
bertscore-anyref-pegasus-xsum-constant-16-32_recall,0.018
bertscore-anyref-pegasus-xsum-constant-16-32_f1,-0.006
bertscore-anyref-pegasus-xsum-constant-32-64_precision,-0.024
bertscore-anyref-pegasus-xsum-constant-32-64_recall,0.037
bertscore-anyref-pegasus-xsum-constant-32-64_f1,0.01
rouge-anyref-bart-default_rouge1,0.125
rouge-anyref-bart-default_rouge2,0.134
rouge-anyref-bart-default_rougeL,0.112
rouge-anyref-bart-default_rougeLsum,0.112
rouge-anyref-bart-min-0.2-0.5_rouge1,0.136
rouge-anyref-bart-min-0.2-0.5_rouge2,0.141
rouge-anyref-bart-min-0.2-0.5_rougeL,0.115
rouge-anyref-bart-min-0.2-0.5_rougeLsum,0.115
rouge-anyref-bart-min-0.5-0.7_rouge1,0.136
rouge-anyref-bart-min-0.5-0.7_rouge2,0.141
rouge-anyref-bart-min-0.5-0.7_rougeL,0.115
rouge-anyref-bart-min-0.5-0.7_rougeLsum,0.115
rouge-anyref-bart-mean-0.2-0.5_rouge1,0.136
rouge-anyref-bart-mean-0.2-0.5_rouge2,0.141
rouge-anyref-bart-mean-0.2-0.5_rougeL,0.115
rouge-anyref-bart-mean-0.2-0.5_rougeLsum,0.115
rouge-anyref-bart-mean-0.5-0.7_rouge1,0.136
rouge-anyref-bart-mean-0.5-0.7_rouge2,0.141
rouge-anyref-bart-mean-0.5-0.7_rougeL,0.115
rouge-anyref-bart-mean-0.5-0.7_rougeLsum,0.115
rouge-anyref-bart-constant-16-32_rouge1,0.136
rouge-anyref-bart-constant-16-32_rouge2,0.141
rouge-anyref-bart-constant-16-32_rougeL,0.115
rouge-anyref-bart-constant-16-32_rougeLsum,0.115
rouge-anyref-bart-constant-32-64_rouge1,0.136
rouge-anyref-bart-constant-32-64_rouge2,0.141
rouge-anyref-bart-constant-32-64_rougeL,0.115
rouge-anyref-bart-constant-32-64_rougeLsum,0.115
rouge-anyref-pegasus-xsum-default_rouge1,0.016
rouge-anyref-pegasus-xsum-default_rouge2,0.025
rouge-anyref-pegasus-xsum-default_rougeL,0.017
rouge-anyref-pegasus-xsum-default_rougeLsum,0.017
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge1,0.016
rouge-anyref-pegasus-xsum-min-0.2-0.5_rouge2,0.025
rouge-anyref-pegasus-xsum-min-0.2-0.5_rougeL,0.017
