,Pyramid,Linguistic,Overall
bertscore_precision,0.303,0.239,0.299
bertscore_recall,0.353,0.32,0.37
bertscore_f1,0.378,0.316,0.375
rouge_rouge1,0.285,0.184,0.285
rouge_rouge2,0.203,0.126,0.195
rouge_rougeL,0.184,0.163,0.189
rouge_rougeLsum,0.279,0.177,0.281
bleurt_scores,0.293,0.315,0.314
bertscore-deberta-large-mnli_precision,0.362,0.316,0.354
bertscore-deberta-large-mnli_recall,0.388,0.323,0.391
bertscore-deberta-large-mnli_f1,0.396,0.335,0.393
bertscore-bart-large-mnli_precision,0.346,0.211,0.323
bertscore-bart-large-mnli_recall,0.305,0.158,0.296
bertscore-bart-large-mnli_f1,0.355,0.192,0.333
bertscore-deberta-large_precision,0.342,0.292,0.341
bertscore-deberta-large_recall,0.345,0.294,0.354
bertscore-deberta-large_f1,0.371,0.31,0.373
bertscore-bart-large_precision,0.341,0.234,0.329
bertscore-bart-large_recall,0.295,0.18,0.294
bertscore-bart-large_f1,0.343,0.214,0.333
bertscore-roberta-large-mnli_precision,0.34,0.238,0.323
bertscore-roberta-large-mnli_recall,0.351,0.267,0.354
bertscore-roberta-large-mnli_f1,0.374,0.279,0.363
